formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
NaInSeF2,Direct,0.8379,0.7099,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaInSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaInSeF2.cif,NaInSeF2.cif
NaInTeF2,Direct,0.8429,0.6918,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaInTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaInTeF2.cif,NaInTeF2.cif
NaLa2Se3Cl,Direct,1.0141,0.5103,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaLa2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/NaLa2Se3Cl.cif,NaLa2Se3Cl.cif
NaLaSeF2,Direct,0.9681,0.5319,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaLaSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaLaSeF2.cif,NaLaSeF2.cif
NaMnSeF,Direct,0.657,0.5722,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaMnSeF.cif,PROJECT_ROOT/Data/predict_final_main6/NaMnSeF.cif,NaMnSeF.cif
NaRh2Se3Br,Direct,1.0837,0.3038,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaRh2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/NaRh2Se3Br.cif,NaRh2Se3Br.cif
NaRh2Se3Cl,Direct,0.9159,0.3153,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaRh2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/NaRh2Se3Cl.cif,NaRh2Se3Cl.cif
NaRhSCl2,Direct,0.7273,0.4057,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/NaRhSCl2.cif,NaRhSCl2.cif
NaRhSF2,Direct,0.6797,0.4958,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhSF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaRhSF2.cif,NaRhSF2.cif
NaRhSI2,Direct,0.5641,0.2632,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhSI2.cif,PROJECT_ROOT/Data/predict_final_main6/NaRhSI2.cif,NaRhSI2.cif
NaRhSeCl2,Direct,0.5131,0.4256,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/NaRhSeCl2.cif,NaRhSeCl2.cif
NaRhSeI2,Direct,0.5531,0.2854,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhSeI2.cif,PROJECT_ROOT/Data/predict_final_main6/NaRhSeI2.cif,NaRhSeI2.cif
NaScSeF2,Direct,0.9602,0.4164,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaScSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaScSeF2.cif,NaScSeF2.cif
NaTa2Se3Cl,Direct,0.5317,0.3144,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaTa2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/NaTa2Se3Cl.cif,NaTa2Se3Cl.cif
NaTeRhF2,Direct,0.9868,0.5863,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaRhTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaTeRhF2.cif,NaTeRhF2.cif
NaYTeCl2,Direct,0.5748,0.5555,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/NaYTeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/NaYTeCl2.cif,NaYTeCl2.cif
NbNi2S2Cl3,Direct,0.6431,0.476,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Ni2NbS2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/NbNi2S2Cl3.cif,NbNi2S2Cl3.cif
Ni2BiS2I3,Direct,0.6575,0.2996,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Ni2BiS2I3.cif,PROJECT_ROOT/Data/predict_final_main6/Ni2BiS2I3.cif,Ni2BiS2I3.cif
NiBiS2Br,Direct,0.5807,0.3009,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NiBiS2Br.cif,PROJECT_ROOT/Data/predict_final_main6/NiBiS2Br.cif,NiBiS2Br.cif
NiBiS2I,Direct,0.8671,0.2146,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NiBiS2I.cif,PROJECT_ROOT/Data/predict_final_main6/NiBiS2I.cif,NiBiS2I.cif
NiMoSe2Cl,Direct,0.5355,0.5616,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NiMoSe2Cl.cif,PROJECT_ROOT/Data/predict_final_main6/NiMoSe2Cl.cif,NiMoSe2Cl.cif
NiSbSe2I,Direct,0.5138,0.0567,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NiSbSe2I.cif,PROJECT_ROOT/Data/predict_final_main6/NiSbSe2I.cif,NiSbSe2I.cif
RbAl2Se3Cl,Direct,1.0978,0.2517,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbAl2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/RbAl2Se3Cl.cif,RbAl2Se3Cl.cif
RbAl2Se3I,Direct,1.0794,0.1998,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbAl2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/RbAl2Se3I.cif,RbAl2Se3I.cif
RbGa2Se3Cl,Direct,0.9609,0.4076,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbGa2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/RbGa2Se3Cl.cif,RbGa2Se3Cl.cif
RbGeSF,Direct,0.7226,0.5962,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbGeSF.cif,PROJECT_ROOT/Data/predict_final_main6/RbGeSF.cif,RbGeSF.cif
RbGeSeF,Direct,0.637,0.4637,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbGeSeF.cif,PROJECT_ROOT/Data/predict_final_main6/RbGeSeF.cif,RbGeSeF.cif
RbLa2Se3Cl,Direct,0.9383,0.306,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbLa2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/RbLa2Se3Cl.cif,RbLa2Se3Cl.cif
RbLa2Se3F,Direct,0.8171,0.3487,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbLa2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/RbLa2Se3F.cif,RbLa2Se3F.cif
RbLaSF2,Direct,0.5694,0.5164,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/RbLaSF2.cif,PROJECT_ROOT/Data/predict_final_main6/RbLaSF2.cif,RbLaSF2.cif
RbMo2S3Br,Direct,0.7817,0.1748,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbMo2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/RbMo2S3Br.cif,RbMo2S3Br.cif
RbRh2S3Br,Direct,0.9222,0.346,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbRh2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/RbRh2S3Br.cif,RbRh2S3Br.cif
RbRh2Se3Br,Direct,0.7683,0.2844,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbRh2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/RbRh2Se3Br.cif,RbRh2Se3Br.cif
RbRh2Se3Cl,Direct,0.661,0.3467,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbRh2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/RbRh2Se3Cl.cif,RbRh2Se3Cl.cif
RbRh2Se3F,Direct,1.0205,0.1767,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbRh2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/RbRh2Se3F.cif,RbRh2Se3F.cif
RbRhSeF2,Direct,0.9099,0.4681,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/RbRhSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/RbRhSeF2.cif,RbRhSeF2.cif
RbScSF2,Direct,0.9689,0.3454,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/RbScSF2.cif,PROJECT_ROOT/Data/predict_final_main6/RbScSF2.cif,RbScSF2.cif
RbScSeF2,Direct,0.5105,0.1938,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/RbScSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/RbScSeF2.cif,RbScSeF2.cif
RbSnSeF,Direct,0.9398,0.6478,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbSnSeF.cif,PROJECT_ROOT/Data/predict_final_main6/RbSnSeF.cif,RbSnSeF.cif
RbSnTeBr,Direct,0.6577,0.5871,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbSnTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/RbSnTeBr.cif,RbSnTeBr.cif
RbSnTeCl,Direct,0.9064,0.4706,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbSnTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/RbSnTeCl.cif,RbSnTeCl.cif
RbV2S3I,Direct,0.8234,0.1357,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbV2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/RbV2S3I.cif,RbV2S3I.cif
RbW2S3I,Direct,0.5974,0.4035,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/RbW2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/RbW2S3I.cif,RbW2S3I.cif
RhSeBr,Direct,0.9916,0.1259,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/RhSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/RhSeBr.cif,RhSeBr.cif
RhSeCl,Direct,0.5607,0.363,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/RhSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/RhSeCl.cif,RhSeCl.cif
RhSeI,Direct,0.9802,0.2207,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/RhSeI.cif,PROJECT_ROOT/Data/predict_final_main6/RhSeI.cif,RhSeI.cif
ScAgSCl2,Direct,1.0334,0.4216,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgScSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/ScAgSCl2.cif,ScAgSCl2.cif
ScAgSF2,Direct,0.5855,0.3155,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgScSF2.cif,PROJECT_ROOT/Data/predict_final_main6/ScAgSF2.cif,ScAgSF2.cif
ScCoSe2F,Direct,0.6035,0.2347,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/ScCoSe2F.cif,PROJECT_ROOT/Data/predict_final_main6/ScCoSe2F.cif,ScCoSe2F.cif
ScGeS2F,Direct,0.6607,0.4896,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/ScGeS2F.cif,PROJECT_ROOT/Data/predict_final_main6/ScGeS2F.cif,ScGeS2F.cif
ScNi2S2Cl3,Direct,0.8365,0.6012,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Ni2ScS2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/ScNi2S2Cl3.cif,ScNi2S2Cl3.cif
ScNi2Se2Cl3,Direct,0.6154,0.7053,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Ni2ScSe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/ScNi2Se2Cl3.cif,ScNi2Se2Cl3.cif
ScSI,Direct,1.0313,0.8771,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/ScSI.cif,PROJECT_ROOT/Data/predict_final_main6/ScSI.cif,ScSI.cif
ScSeBr,Direct,0.9433,0.4666,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/ScSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/ScSeBr.cif,ScSeBr.cif
ScSeCl,Direct,0.6338,0.5523,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/ScSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/ScSeCl.cif,ScSeCl.cif
ScSeF,Direct,0.5624,0.3275,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/ScSeF.cif,PROJECT_ROOT/Data/predict_final_main6/ScSeF.cif,ScSeF.cif
ScSnS2F,Direct,1.0266,0.1445,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/ScSnS2F.cif,PROJECT_ROOT/Data/predict_final_main6/ScSnS2F.cif,ScSnS2F.cif
ScSnSe2F,Direct,0.7588,0.2549,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/ScSnSe2F.cif,PROJECT_ROOT/Data/predict_final_main6/ScSnSe2F.cif,ScSnSe2F.cif
ScTeCl,Direct,0.5174,0.4368,Stable,Yes,dual_backbone_inorg,Type2_C_Ch_X,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/ScTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/ScTeCl.cif,ScTeCl.cif
ScZn2S2Cl3,Direct,0.8789,0.8804,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Zn2ScS2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/ScZn2S2Cl3.cif,ScZn2S2Cl3.cif
ScZn2Se2Cl3,Direct,0.9125,0.5281,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Zn2ScSe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/ScZn2Se2Cl3.cif,ScZn2Se2Cl3.cif
Sn2BiS2Cl3,Direct,1.0735,0.5878,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sn2BiS2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/Sn2BiS2Cl3.cif,Sn2BiS2Cl3.cif
Sn2MoS2I3,Direct,0.7394,0.2916,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sn2MoS2I3.cif,PROJECT_ROOT/Data/predict_final_main6/Sn2MoS2I3.cif,Sn2MoS2I3.cif
Sn2RhSe2Cl3,Direct,0.6723,0.3525,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sn2RhSe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/Sn2RhSe2Cl3.cif,Sn2RhSe2Cl3.cif
Sn2Te2RhF3,Direct,0.8365,0.2645,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sn2RhTe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sn2Te2RhF3.cif,Sn2Te2RhF3.cif
SnBiS2F,Direct,0.8367,0.28,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/SnBiS2F.cif,PROJECT_ROOT/Data/predict_final_main6/SnBiS2F.cif,SnBiS2F.cif
SnBiS2I,Direct,0.7634,0.1708,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/SnBiS2I.cif,PROJECT_ROOT/Data/predict_final_main6/SnBiS2I.cif,SnBiS2I.cif
SnRhS2Cl,Direct,0.5757,0.4116,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/SnRhS2Cl.cif,PROJECT_ROOT/Data/predict_final_main6/SnRhS2Cl.cif,SnRhS2Cl.cif
SnRuS2F,Direct,0.8041,0.7375,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/SnRuS2F.cif,PROJECT_ROOT/Data/predict_final_main6/SnRuS2F.cif,SnRuS2F.cif
SnWS2F,Direct,0.7734,0.6147,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/SnWS2F.cif,PROJECT_ROOT/Data/predict_final_main6/SnWS2F.cif,SnWS2F.cif
Sr2AlSe2Cl3,Direct,1.0253,0.4939,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2AlSe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2AlSe2Cl3.cif,Sr2AlSe2Cl3.cif
Sr2AlTe2I3,Direct,0.756,0.7329,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2AlTe2I3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2AlTe2I3.cif,Sr2AlTe2I3.cif
Sr2BiS2I3,Direct,0.9697,0.5517,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2BiS2I3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2BiS2I3.cif,Sr2BiS2I3.cif
Sr2BiSe2F3,Direct,0.7096,0.2932,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2BiSe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2BiSe2F3.cif,Sr2BiSe2F3.cif
Sr2GaTe2Cl3,Direct,0.8601,0.5891,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2GaTe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2GaTe2Cl3.cif,Sr2GaTe2Cl3.cif
Sr2GaTe2F3,Direct,0.5292,0.5265,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2GaTe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2GaTe2F3.cif,Sr2GaTe2F3.cif
Sr2HfSe2Cl3,Direct,0.8178,0.4405,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2HfSe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2HfSe2Cl3.cif,Sr2HfSe2Cl3.cif
Sr2HfSe2F3,Direct,0.9707,0.2768,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2HfSe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2HfSe2F3.cif,Sr2HfSe2F3.cif
Sr2InSe2F3,Direct,0.7688,0.4675,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2InSe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2InSe2F3.cif,Sr2InSe2F3.cif
Sr2LaSe2F3,Direct,1.0079,0.1907,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Sr2LaSe2F3.cif,PROJECT_ROOT/Data/predict_final_main6/Sr2LaSe2F3.cif,Sr2LaSe2F3.cif
