formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
LiLu2S3I,Direct,1.0593,0.7074,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiLu2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiLu2S3I.cif,LiLu2S3I.cif
LiLu2Se3Br,Direct,0.9493,0.6217,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiLu2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/LiLu2Se3Br.cif,LiLu2Se3Br.cif
LiLu2Se3I,Direct,0.9796,0.5643,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiLu2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiLu2Se3I.cif,LiLu2Se3I.cif
LiLu2Te3F,Direct,0.9371,0.5175,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiLu2Te3F.cif,PROJECT_ROOT/Data/predict_final_main6/LiLu2Te3F.cif,LiLu2Te3F.cif
LiLu2Te3I,Direct,0.7113,0.3153,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiLu2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiLu2Te3I.cif,LiLu2Te3I.cif
LiMnTeBr,Direct,0.972,0.6488,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiMnTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/LiMnTeBr.cif,LiMnTeBr.cif
LiPtSeF,Direct,0.7914,0.5085,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiPtSeF.cif,PROJECT_ROOT/Data/predict_final_main6/LiPtSeF.cif,LiPtSeF.cif
LiRh2S3Cl,Direct,0.7636,0.5598,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiRh2S3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/LiRh2S3Cl.cif,LiRh2S3Cl.cif
LiRh2S3I,Direct,0.5998,0.3073,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiRh2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiRh2S3I.cif,LiRh2S3I.cif
LiRhSF2,Direct,0.7164,0.3022,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/LiRhSF2.cif,PROJECT_ROOT/Data/predict_final_main6/LiRhSF2.cif,LiRhSF2.cif
