task,model,accuracy,f1_macro
stability,Dummy(freq),0.7647058823529411,0.43333333333333335
stability,Logistic,0.7941176470588235,0.7440432724814063
stability,KNN,0.8523755656108597,0.7657860957192649
stability,SVM,0.8472850678733032,0.7935490567506551
stability,RandomForest,0.8868778280542986,0.8259592421745645
stability,ExtraTrees,0.8778280542986425,0.8175898752751284
stability,HistGBM,0.8868778280542986,0.8352071375442508
stability,XGBoost,0.8930995475113123,0.8441268379651852
stability,LightGBM,0.8851809954751131,0.8319579698276851
