task,model,mae_ev,rmse,r2
bandgap,Dummy(mean),1.0338504933032142,1.347954400575939,-0.06096157355587106
bandgap,Ridge,0.7464915364268718,0.9693300297179953,0.4513535321128338
bandgap,KNN,0.6366487937797598,0.9313480809813011,0.4935071708649703
bandgap,SVM,0.5506993127923825,0.8268111458470865,0.6008263198648606
bandgap,RandomForest,0.5269261462779853,0.7627289528595204,0.6603045595450748
bandgap,ExtraTrees,0.47018282212974577,0.7397340771665428,0.6804781924396679
bandgap,HistGBM,0.4959989637144132,0.7639663169175158,0.6592014996121058
bandgap,XGBoost,0.483449516546703,0.7460271148198958,0.67501862049158
bandgap,LightGBM,0.4767790620089066,0.7265664041474751,0.69175227637057
