mp_id,formula,bg_eV,gap_type,ehull,stable
mp-10930,TbSF,1.2587,Direct,0.0,Stable
mp-10931,HoSF,1.2996,Direct,0.0,Stable
mp-10932,ErSF,1.3244,Direct,0.0,Stable
mp-3931,SmSF,1.2297,Direct,0.0,Stable
mp-5760,NdSF,1.2363,Direct,0.0,Stable
mp-554025,,4.0441,Indirect,0.2373,Unstable
mp-555850,LuSF,2.6141,Indirect,0.0,Stable
mp-3632,YSF,2.5593,Indirect,0.0265,Stable
mp-504830,,2.4961,Indirect,0.4317,Unstable
mp-6384,RbSO2F,4.1099,Indirect,0.0118,Stable
mp-6560,KSO2F,3.9815,Indirect,0.0188,Stable
mp-1225522,Er3S3OF,0.4717,Indirect,0.0526,Stable
mp-7744,LiSO3F,5.7916,Direct,0.0,Stable
mp-1078631,SrBiS2F,0.8544,Direct,0.0087,Stable
mp-1078562,SrAgSF,1.2533,Direct,0.0072,Stable
mp-1086652,BaAgSF,1.4324,Direct,0.0,Stable
mp-21354,EuCuSF,0.0733,Indirect,0.0077,Stable
mp-1219531,,0.9485,Indirect,0.1773,Unstable
mp-555707,,1.388,Indirect,0.1256,Unstable
mp-556512,,2.15,Indirect,0.213,Unstable
mp-561392,TcSO6F,2.721,Indirect,0.0,Stable
mp-557035,K3SO4F,5.2302,Indirect,0.002,Stable
mp-1103970,FeSO4F,2.0446,Direct,0.0007,Stable
mp-1214204,Ca5S3O12F,0.2906,Direct,0.3201,Unstable
mp-650178,,1.4592,Indirect,0.0,Stable
mp-643794,,3.0957,Indirect,0.5795,Unstable
mp-1104492,FeSO4F,2.0927,Direct,0.0103,Stable
mp-1223822,K3SO4F,4.9511,Indirect,0.0102,Stable
mp-547029,Na3SO4F,2.2518,Indirect,0.3319,Unstable
mp-554012,,4.6493,Indirect,0.0,Stable
mp-1223363,KSO2F,4.1568,Direct,0.0241,Stable
mp-1229086,AgSO3F,2.4337,Indirect,0.0,Stable
mp-1190566,TlSO3F,4.4542,Indirect,0.0,Stable
mp-1209092,,0.2695,Indirect,0.9926,Unstable
mp-1219578,RbSO3F,5.1068,Direct,0.0,Stable
mp-1223405,KSO3F,5.1172,Direct,0.0,Stable
mp-16801,GdSO4F,0.2226,Indirect,0.0,Stable
mp-6368,CsSO2F,4.4107,Indirect,0.0144,Stable
mp-1222350,LiMgSO4F,5.9657,Indirect,0.0112,Stable
mp-1222389,LiFeSO4F,3.4481,Indirect,0.0092,Stable
mp-1105952,NaFeSO4F,4.1937,Indirect,0.0,Stable
mp-1189154,NaZnSO4F,4.2143,Indirect,0.0049,Stable
mp-1194644,KFeSO4F,3.925,Indirect,0.0,Stable
mp-1195676,LiCuSO4F,0.4309,Indirect,0.0,Stable
mp-1205341,NaCoSO4F,2.1368,Indirect,0.0,Stable
mp-864766,NaMgSO4F,5.6118,Direct,0.0,Stable
mp-557399,KSnSO4F,3.8899,Indirect,0.0073,Stable
mp-558959,,1.8838,Indirect,0.3428,Unstable
mp-677510,LiMgSO4F,0.8786,Indirect,0.605,Unstable
mp-942702,LiMnSO4F,4.1107,Indirect,0.0124,Stable
mp-943492,LiFeSO4F,1.3691,Direct,0.0066,Stable
mp-23657,Na6S2ClO8F,4.7742,Indirect,0.0,Stable
mp-1198997,,3.8048,Direct,0.1611,Unstable
mp-560102,RbUSO6F,2.2159,Direct,0.0,Stable
mp-729140,USNO6F,0.5436,Direct,0.3688,Unstable
mp-1191868,,4.3293,Indirect,0.2785,Unstable
mp-1203440,LiZnSO4F,4.2073,Indirect,0.0,Stable
mp-556146,,2.8283,Indirect,0.1286,Unstable
mp-695559,Na13Ca7S12Cl2O48F,4.7708,Indirect,0.0225,Stable
mp-1193789,,3.0039,Indirect,0.0046,Stable
mp-1307582,,3.6397,Direct,0.0086,Stable
mp-766031,,5.0378,Indirect,0.0072,Stable
mp-746580,,0.2696,Indirect,0.1619,Unstable
mp-1181947,,4.2701,Direct,0.0901,Stable
mp-707774,,0.7024,Direct,0.372,Unstable
mp-1222063,,1.0961,Indirect,0.037,Stable
mp-707264,,0.4797,Indirect,0.0383,Stable
mp-28676,,5.5878,Direct,0.0,Stable
mp-28257,,5.2887,Direct,0.0,Stable
mp-7580,Hg3(SF)2,1.8372,Indirect,0.0,Stable
mp-1228621,Ba2S2O3F2,2.367,Direct,0.2526,Unstable
mp-1194972,,1.9408,Indirect,0.009,Stable
mp-1202574,AgS2(O3F)2,0.1878,Direct,0.0,Stable
mp-554599,SnS2(O3F)2,4.3518,Indirect,0.0047,Stable
mp-1191332,CsS2(O3F)2,0.3033,Indirect,0.0,Stable
mp-557531,Pb2S(O2F)2,3.7964,Direct,0.0,Stable
mp-559593,,2.5324,Indirect,0.3755,Unstable
mp-1179999,Pb10SO13F2,1.2446,Indirect,0.0365,Stable
mp-1188569,,0.8715,Indirect,0.2753,Unstable
mp-561117,,2.4934,Direct,0.0917,Stable
mp-1235086,K2LiS2(O2F)2,0.2739,Indirect,0.1839,Unstable
mp-1235206,K2LiS2(O2F)2,1.0342,Indirect,0.1887,Unstable
mp-1235506,K2LiS2(O2F)2,0.9722,Indirect,0.1929,Unstable
mp-1236214,K2LiS2(O2F)2,0.6569,Indirect,0.2376,Unstable
mp-1236687,K2LiS2(O2F)2,1.0017,Indirect,0.1966,Unstable
mp-551403,Ba2Fe2S2OF2,1.8181,Indirect,0.0264,Stable
mp-549237,Sr2Fe2S2OF2,1.4677,Indirect,0.0415,Stable
mp-1196019,NaS2N(O2F)2,5.5093,Direct,0.0855,Stable
mp-1196656,,3.4899,Indirect,0.1158,Unstable
mp-1196465,K2ZrS2(O5F)2,0.1913,Direct,0.2101,Unstable
mp-1199269,KS2N(O2F)2,5.4444,Indirect,0.0904,Stable
mp-1201634,NaS2N(O2F)2,5.3421,Indirect,0.0895,Stable
mp-559393,,5.8248,Indirect,0.1713,Unstable
mp-696993,,3.8681,Indirect,0.024,Stable
mp-643586,,5.6738,Indirect,0.0,Stable
mp-1227873,Ca10Si3S3(O12F)2,4.4312,Direct,0.0203,Stable
mp-559971,LiS2N(O2F)2,5.9008,Indirect,0.0956,Stable
mp-1215742,,1.3358,Direct,1.2165,Unstable
mp-2232096,MgFe2S2(O4F)2,3.8031,Direct,0.0539,Stable
mp-648193,,3.8506,Direct,0.2741,Unstable
mp-1213195,CsSbS(O2F)2,4.6564,Indirect,0.0,Stable
mp-554732,RbSbS(O2F)2,4.6867,Indirect,0.0,Stable
mp-1105944,,5.8161,Indirect,0.0769,Stable
mp-698122,,0.8905,Indirect,0.6139,Unstable
mp-1236147,K2LiS2(O2F)2,0.8435,Indirect,0.2425,Unstable
mp-1235827,K2LiS2(O2F)2,0.8359,Indirect,0.2449,Unstable
mp-1194982,Na3FeS2(O4F)2,2.5691,Direct,0.0,Stable
mp-1195590,Na3MnS2(O4F)2,1.418,Direct,0.0,Stable
mp-652068,KS2N(O2F)2,5.6585,Direct,0.0908,Stable
mp-720360,Na13Ca7S12Cl(O24F)2,5.1477,Indirect,0.006,Stable
mp-558888,,4.8031,Indirect,0.2883,Unstable
mp-1195326,,4.8222,Direct,0.4443,Unstable
mp-1203356,,3.6948,Indirect,0.1686,Unstable
mp-1105350,,4.8046,Indirect,0.4461,Unstable
mp-555146,,4.5234,Direct,0.3548,Unstable
mp-643446,,5.364,Indirect,0.001,Stable
mp-27717,As2S2F3,2.4626,Indirect,0.0703,Stable
mp-1209117,,4.2402,Direct,0.3541,Unstable
mp-1225708,Er3S2OF3,1.7451,Direct,0.0487,Stable
mp-1190551,Na2FeSO4F3,2.0527,Direct,0.0049,Stable
mp-1181304,,1.4496,Indirect,0.3582,Unstable
mp-1200256,,3.306,Indirect,0.1579,Unstable
mp-19488,Rb2MnSO4F3,1.747,Indirect,0.0,Stable
mp-24357,,6.3838,Indirect,0.1351,Unstable
mp-555309,,1.3824,Direct,0.3057,Unstable
mp-555625,,5.0565,Indirect,0.2092,Unstable
mp-558648,,4.6094,Direct,0.0802,Stable
mp-559873,,4.7392,Direct,0.2104,Unstable
mp-560139,,2.765,Indirect,0.355,Unstable
mp-636952,,6.6079,Indirect,0.1643,Unstable
mp-720860,,6.0024,Indirect,0.1167,Unstable
mp-706514,,6.2244,Indirect,0.1218,Unstable
mp-557969,LiLa2S2O8F3,6.6249,Indirect,0.01,Stable
mp-554643,K2SbSO4F3,4.9328,Indirect,0.0,Stable
mp-769153,Li2SbSO4F3,4.4629,Indirect,0.0745,Stable
mp-1181494,,2.0947,Indirect,0.2686,Unstable
mp-1191673,Na2BSO4F3,5.7662,Indirect,0.0,Stable
mp-560125,,3.3625,Indirect,0.1594,Unstable
mp-768092,LiVSO4F3,1.5414,Indirect,0.0589,Stable
mp-559646,,5.3392,Direct,0.1335,Unstable
mp-6858,,5.7327,Indirect,0.1322,Unstable
mp-532575,Na13Ca7S12(O16F)3,5.2445,Indirect,0.002,Stable
mp-1203080,K2AlSO4F3,5.7847,Direct,0.0,Stable
mp-555002,LiEr2S2O8F3,6.176,Indirect,0.0142,Stable
mp-1199815,SbSN2O4F3,1.1105,Indirect,0.9569,Unstable
mp-557006,Na2SbSO4F3,4.4339,Indirect,0.0,Stable
mp-769601,LiVSO4F3,1.4013,Indirect,0.0562,Stable
mp-1201229,,5.5535,Direct,0.7458,Unstable
mp-601228,,3.1436,Indirect,0.7248,Unstable
mp-696485,,3.4852,Indirect,0.0165,Stable
mp-559423,,3.3148,Direct,0.241,Unstable
mp-555728,,2.1838,Indirect,0.3984,Unstable
mp-601202,,5.7664,Direct,0.1694,Unstable
mp-1201024,,2.5456,Indirect,0.145,Unstable
mp-1204104,,3.2777,Indirect,0.3264,Unstable
mp-1219693,,1.6573,Indirect,0.3159,Unstable
mp-1205247,MoSF4,2.8691,Direct,0.1439,Unstable
mp-28113,WSF4,3.3183,Direct,0.1419,Unstable
mp-560960,ReSF4,0.3651,Indirect,0.0063,Stable
mp-1182437,,3.6381,Indirect,0.1476,Unstable
mp-1201734,,0.4207,Indirect,0.1937,Unstable
mp-1214213,,3.5712,Indirect,0.1489,Unstable
mp-555436,,4.3527,Direct,0.1284,Unstable
mp-557161,Ba4Fe3(S3F2)2,1.2306,Direct,0.1462,Unstable
mp-1105132,,2.348,Indirect,0.1497,Unstable
mp-1179346,,0.2935,Direct,0.9829,Unstable
mp-554285,Na15S5Cl(O5F)4,4.9473,Indirect,0.0008,Stable
mp-1194736,Na5Mn3S4(O4F)4,1.7777,Direct,0.0,Stable
mp-1201750,,5.3274,Indirect,0.0356,Stable
mp-1214776,,2.1892,Indirect,0.1244,Unstable
mp-679630,Ba2BeS(OF)4,3.816,Indirect,0.5561,Unstable
mp-1204862,Ba4Ga2Fe(S3F2)2,2.4483,Direct,0.1546,Unstable
mp-555250,,3.1765,Indirect,0.2529,Unstable
mp-1215373,,4.5471,Indirect,0.0994,Stable
mp-1195164,,3.1191,Indirect,0.0,Stable
mp-1046702,MgCrSF5,1.2534,Indirect,0.2363,Unstable
mp-1323771,MgCrSF5,0.0512,Indirect,3.0918,Unstable
mp-559296,AsS4N4F5,1.7123,Indirect,0.2687,Unstable
mp-558254,AsS4N4F5,1.92,Indirect,0.2686,Unstable
mp-555513,,2.9355,Indirect,0.3873,Unstable
mp-1216106,Y3SOF5,3.5401,Direct,0.0092,Stable
mp-1217635,Tb3SOF5,3.588,Direct,0.0054,Stable
mp-1219205,Sm3SOF5,3.5041,Direct,0.0008,Stable
mp-1224058,Ho3SOF5,3.6385,Direct,0.0102,Stable
mp-1224717,Gd3SOF5,1.9623,Indirect,0.0,Stable
mp-1225346,Dy3SOF5,3.6131,Direct,0.0063,Stable
mp-560409,,2.1438,Direct,0.1498,Unstable
mp-556223,,5.4516,Indirect,0.423,Unstable
mp-562018,,4.3341,Indirect,0.5163,Unstable
mp-1182745,,2.4838,Indirect,0.4684,Unstable
mp-696078,,5.0454,Indirect,0.0,Stable
mp-699555,,2.0408,Indirect,0.6032,Unstable
mp-555067,,1.5258,Indirect,0.2651,Unstable
mp-975,,5.9124,Indirect,0.0,Stable
mp-8652,,5.9243,Direct,0.0003,Stable
mp-1013726,Cd4SF6,2.1914,Direct,0.0266,Stable
mp-27578,As(S2F3)2,1.2407,Indirect,0.0,Stable
mp-1021490,Sn4SF6,2.6861,Indirect,0.0438,Stable
mp-1013750,Sn4SF6,2.5945,Direct,0.0446,Stable
mp-1214177,,4.3393,Indirect,0.5616,Unstable
mp-12368,SbS2NF6,2.6713,Direct,0.0961,Stable
mp-8500,AsS2NF6,2.608,Indirect,0.1084,Unstable
mp-560180,AsS4N5F6,2.5059,Indirect,0.3528,Unstable
mp-560042,AsS3(NF3)2,1.5036,Indirect,0.1717,Unstable
mp-556837,AgAs(S8F3)2,2.765,Indirect,0.0,Stable
mp-557628,AsS(IF3)2,1.1714,Indirect,0.0,Stable
mp-559602,AgSb(S8F3)2,2.7813,Indirect,0.0,Stable
mp-555194,SiHg3(SF3)2,2.7984,Indirect,0.0,Stable
mp-555408,SbS7IF6,2.0126,Direct,0.1996,Unstable
mp-555457,,4.0479,Indirect,0.0,Stable
mp-560639,SbS(BrF2)3,2.6548,Indirect,0.0012,Stable
mp-2932665,Cu2Hg2SF6,0.4967,Indirect,0.0,Stable
mp-637112,AsS7IF6,1.8307,Indirect,0.1855,Unstable
mp-1246700,Ca2Ni2SF6,3.2989,Direct,0.4363,Unstable
mp-560107,SbAs3(S2F3)2,2.4223,Indirect,0.0458,Stable
mp-683956,SbSNF6,3.3498,Indirect,0.1398,Unstable
mp-769588,Li3V2S2(O4F3)2,1.0429,Indirect,0.0725,Stable
mp-2217837,MgSbS2NF6,0.6807,Indirect,0.412,Unstable
mp-1199019,AgSbS(OF3)2,2.5554,Indirect,0.0,Stable
mp-557904,SbSe2S(NF3)2,1.5584,Indirect,0.1303,Unstable
mp-560986,AsSe2S(NF3)2,1.5718,Indirect,0.1295,Unstable
mp-39536,,6.0209,Direct,0.1759,Unstable
mp-40886,,5.526,Indirect,0.179,Unstable
mp-505281,CsSbS6(O3F)6,2.6292,Indirect,0.0,Stable
mp-638469,,6.1553,Indirect,0.1717,Unstable
mp-728443,,1.1549,Indirect,0.464,Unstable
mp-622197,Cs2PtS6(O3F)6,2.1952,Indirect,0.0,Stable
mp-680169,Na21S7Cl(O14F3)2,4.9055,Direct,0.0,Stable
mp-1179614,,4.3864,Indirect,0.0,Stable
mp-555656,,0.2434,Indirect,0.1775,Unstable
mp-759958,,2.852,Indirect,0.124,Unstable
mp-1194943,,1.9664,Indirect,0.3104,Unstable
mp-1204119,,0.2045,Direct,0.4231,Unstable
mp-556154,AsSeS3N5F6,2.5393,Indirect,0.36,Unstable
mp-769600,LiV2S2(O4F3)2,1.1574,Indirect,0.0553,Stable
mp-1200466,Rb2Sb2SO5F6,0.0423,Indirect,0.2567,Unstable
mp-1213742,Cs2Sb2SO5F6,0.3019,Direct,0.2672,Unstable
mp-695699,Te2AsS4N4(ClF2)3,0.7743,Indirect,0.3921,Unstable
mp-743577,,4.3131,Indirect,0.1302,Unstable
