mp_id,formula,bg_eV,gap_type,ehull,stable
mp-720360,Na13Ca7S12Cl(O24F)2,5.1477,Indirect,0.006,Stable
mp-558888,,4.8031,Indirect,0.2883,Unstable
mp-1203356,,3.6948,Indirect,0.1686,Unstable
mp-1105350,,4.8046,Indirect,0.4461,Unstable
mp-555146,,4.5234,Direct,0.3548,Unstable
mp-554187,,4.7744,Indirect,0.3255,Unstable
mp-643446,,5.364,Indirect,0.001,Stable
mp-16813,,1.9675,Indirect,0.1912,Unstable
mp-560021,AuS3(O3F)3,1.4998,Indirect,0.0,Stable
mp-695305,,5.9224,Indirect,0.1466,Unstable
mp-769603,LiVSO4F3,1.2039,Indirect,0.0479,Stable
mp-1190551,Na2FeSO4F3,2.0527,Direct,0.0049,Stable
mp-1181304,,1.4496,Indirect,0.3582,Unstable
mp-1200256,,3.306,Indirect,0.1579,Unstable
mp-1201933,,6.9361,Direct,0.1814,Unstable
mp-1212181,MnSN2O4F3,0.3744,Indirect,0.6857,Unstable
mp-19488,Rb2MnSO4F3,1.747,Indirect,0.0,Stable
mp-18838,K2MnSO4F3,1.5234,Indirect,0.0,Stable
mp-555625,,5.0565,Indirect,0.2092,Unstable
mp-555503,,3.634,Indirect,0.1446,Unstable
mp-636952,,6.6079,Indirect,0.1643,Unstable
mp-720860,,6.0024,Indirect,0.1167,Unstable
mp-769602,Li2VSO4F3,2.2545,Indirect,0.0907,Stable
mp-555016,,3.2494,Indirect,0.3163,Unstable
mp-557969,LiLa2S2O8F3,6.6249,Indirect,0.01,Stable
mp-560673,NaPr2S2O8F3,6.1633,Indirect,0.0,Stable
mp-554294,Na7SnS3(O4F)3,5.0262,Indirect,0.025,Stable
mp-554643,K2SbSO4F3,4.9328,Indirect,0.0,Stable
mp-1181494,,2.0947,Indirect,0.2686,Unstable
mp-560125,,3.3625,Indirect,0.1594,Unstable
mp-768092,LiVSO4F3,1.5414,Indirect,0.0589,Stable
mp-554592,,5.6075,Indirect,0.1269,Unstable
mp-559646,,5.3392,Direct,0.1335,Unstable
mp-6858,,5.7327,Indirect,0.1322,Unstable
mp-1203080,K2AlSO4F3,5.7847,Direct,0.0,Stable
mp-19304,K2MnSO4F3,1.3684,Direct,0.0009,Stable
mp-555002,LiEr2S2O8F3,6.176,Indirect,0.0142,Stable
mp-770642,Li2MnSO4F3,1.7329,Direct,0.0843,Stable
mp-1199815,SbSN2O4F3,1.1105,Indirect,0.9569,Unstable
mp-557006,Na2SbSO4F3,4.4339,Indirect,0.0,Stable
mp-672209,,5.564,Direct,0.141,Unstable
mp-1203692,,1.58,Indirect,0.0234,Stable
mp-23777,,5.8094,Indirect,0.2716,Unstable
mp-555329,,1.5162,Direct,0.2588,Unstable
mp-601228,,3.1436,Indirect,0.7248,Unstable
mp-696485,,3.4852,Indirect,0.0165,Stable
mp-605808,,3.4853,Indirect,0.3335,Unstable
mp-559423,,3.3148,Direct,0.241,Unstable
mp-1202925,,2.6963,Indirect,0.2882,Unstable
mp-1204104,,3.2777,Indirect,0.3264,Unstable
mp-28113,WSF4,3.3183,Direct,0.1419,Unstable
mp-560960,ReSF4,0.3651,Indirect,0.0063,Stable
mp-1182437,,3.6381,Indirect,0.1476,Unstable
mp-1201734,,0.4207,Indirect,0.1937,Unstable
mp-555436,,4.3527,Direct,0.1284,Unstable
mp-555888,,6.1791,Indirect,0.2112,Unstable
mp-1105132,,2.348,Indirect,0.1497,Unstable
mp-1179346,,0.2935,Direct,0.9829,Unstable
mp-1201750,,5.3274,Indirect,0.0356,Stable
mp-1214776,,2.1892,Indirect,0.1244,Unstable
mp-1199018,Ba4CrGa2(S3F2)2,2.1491,Indirect,0.0499,Stable
mp-1204819,Ba4MnIn2(S3F2)2,2.0034,Indirect,0.1535,Unstable
mp-1197784,Ba4MnGa2(S3F2)2,2.9405,Indirect,0.0,Stable
mp-849783,,2.2385,Indirect,0.0978,Stable
mp-555250,,3.1765,Indirect,0.2529,Unstable
mp-1215373,,4.5471,Indirect,0.0994,Stable
mp-1195164,,3.1191,Indirect,0.0,Stable
mp-1046702,MgCrSF5,1.2534,Indirect,0.2363,Unstable
mp-1046709,ZnCrSF5,1.2455,Indirect,0.1985,Unstable
mp-1323771,MgCrSF5,0.0512,Indirect,3.0918,Unstable
mp-559296,AsS4N4F5,1.7123,Indirect,0.2687,Unstable
mp-555255,SbSNF5,2.2156,Indirect,0.1002,Unstable
mp-555513,,2.9355,Indirect,0.3873,Unstable
mp-1216106,Y3SOF5,3.5401,Direct,0.0092,Stable
mp-1217635,Tb3SOF5,3.588,Direct,0.0054,Stable
mp-1220289,Nd3SOF5,3.4275,Direct,0.0318,Stable
mp-1224058,Ho3SOF5,3.6385,Direct,0.0102,Stable
mp-1224717,Gd3SOF5,1.9623,Indirect,0.0,Stable
mp-1225346,Dy3SOF5,3.6131,Direct,0.0063,Stable
mp-560409,,2.1438,Direct,0.1498,Unstable
mp-562018,,4.3341,Indirect,0.5163,Unstable
mp-1212674,,2.8104,Indirect,0.2302,Unstable
mp-1182745,,2.4838,Indirect,0.4684,Unstable
mp-1214114,,4.0393,Indirect,0.1989,Unstable
mp-672266,,4.0702,Indirect,0.2631,Unstable
mp-554876,,2.8314,Indirect,0.1899,Unstable
mp-707845,,0.9258,Direct,0.0621,Stable
mp-555067,,1.5258,Indirect,0.2651,Unstable
mp-975,,5.9124,Indirect,0.0,Stable
mp-8652,,5.9243,Direct,0.0003,Stable
mp-642824,,5.9606,Indirect,0.0019,Stable
mp-8560,,5.8139,Direct,0.0089,Stable
mp-1013726,Cd4SF6,2.1914,Direct,0.0266,Stable
mp-1214118,,4.0187,Indirect,0.3145,Unstable
mp-27578,As(S2F3)2,1.2407,Indirect,0.0,Stable
mp-1207067,,3.2434,Indirect,1.1791,Unstable
mp-1021492,Cd4SF6,0.7836,Direct,0.0277,Stable
mp-1214177,,4.3393,Indirect,0.5616,Unstable
mp-8500,AsS2NF6,2.608,Indirect,0.1084,Unstable
mp-560180,AsS4N5F6,2.5059,Indirect,0.3528,Unstable
mp-555288,SbS(BrF2)3,2.532,Indirect,0.0,Stable
mp-556050,,2.2575,Indirect,0.0769,Stable
mp-558466,AsS(BrF2)3,2.5087,Indirect,0.0,Stable
mp-560042,AsS3(NF3)2,1.5036,Indirect,0.1717,Unstable
mp-556837,AgAs(S8F3)2,2.765,Indirect,0.0,Stable
mp-557628,AsS(IF3)2,1.1714,Indirect,0.0,Stable
mp-559602,AgSb(S8F3)2,2.7813,Indirect,0.0,Stable
mp-555194,SiHg3(SF3)2,2.7984,Indirect,0.0,Stable
mp-555457,,4.0479,Indirect,0.0,Stable
mp-556705,AsS(ClF2)3,3.7948,Indirect,0.0,Stable
mp-2932665,Cu2Hg2SF6,0.4967,Indirect,0.0,Stable
mp-554289,AsS3(NF3)2,0.5875,Indirect,0.1838,Unstable
mp-637112,AsS7IF6,1.8307,Indirect,0.1855,Unstable
mp-1246700,Ca2Ni2SF6,3.2989,Direct,0.4363,Unstable
mp-541145,,3.0337,Direct,0.3055,Unstable
mp-683956,SbSNF6,3.3498,Indirect,0.1398,Unstable
mp-769588,Li3V2S2(O4F3)2,1.0429,Indirect,0.0725,Stable
mp-1214996,AsSeS2(NF3)2,1.5211,Indirect,0.1652,Unstable
mp-557877,,7.103,Indirect,0.2326,Unstable
mp-39536,,6.0209,Direct,0.1759,Unstable
mp-40886,,5.526,Indirect,0.179,Unstable
mp-505281,CsSbS6(O3F)6,2.6292,Indirect,0.0,Stable
mp-622197,Cs2PtS6(O3F)6,2.1952,Indirect,0.0,Stable
mp-1179614,,4.3864,Indirect,0.0,Stable
mp-555656,,0.2434,Indirect,0.1775,Unstable
mp-684804,,2.2023,Direct,0.5421,Unstable
mp-759958,,2.852,Indirect,0.124,Unstable
mp-1194943,,1.9664,Indirect,0.3104,Unstable
mp-2217781,MgSbS2NF6,2.1246,Indirect,0.3052,Unstable
mp-556154,AsSeS3N5F6,2.5393,Indirect,0.36,Unstable
mp-1200466,Rb2Sb2SO5F6,0.0423,Indirect,0.2567,Unstable
mp-1213742,Cs2Sb2SO5F6,0.3019,Direct,0.2672,Unstable
mp-695699,Te2AsS4N4(ClF2)3,0.7743,Indirect,0.3921,Unstable
mp-1200671,,3.2553,Indirect,0.1654,Unstable
mp-699429,,2.4226,Indirect,0.1608,Unstable
mp-743577,,4.3131,Indirect,0.1302,Unstable
mp-1194856,,3.9067,Indirect,0.2824,Unstable
mp-1195079,,6.1847,Indirect,0.228,Unstable
mp-1194781,,4.3372,Direct,0.4507,Unstable
mp-561321,AsSeS2N2ClF6,2.2285,Indirect,0.1462,Unstable
mp-699253,,5.5289,Indirect,0.2532,Unstable
mp-708184,,5.8948,Indirect,0.3468,Unstable
mp-1196633,,2.7103,Indirect,0.3155,Unstable
mp-573066,,5.9374,Direct,0.2162,Unstable
mp-723065,,5.8985,Indirect,0.2456,Unstable
mp-1196643,,0.0016,Indirect,0.5019,Unstable
mp-1200245,,3.3164,Direct,0.1559,Unstable
mp-1209137,,3.2855,Indirect,0.0359,Stable
mp-1238618,,3.1991,Indirect,0.04,Stable
mp-557395,,5.9655,Indirect,0.2422,Unstable
mp-6902,,6.2589,Direct,0.2241,Unstable
mp-554710,,2.6314,Indirect,0.1681,Unstable
mp-1202301,,3.2089,Direct,0.0035,Stable
mp-1204443,,3.0185,Direct,0.0,Stable
mp-556762,,4.9587,Indirect,0.2352,Unstable
mp-1197346,,5.0502,Indirect,0.0057,Stable
mp-1234900,MgS8(O5F2)4,3.0932,Indirect,0.0846,Stable
mp-1233665,MgS8(O5F2)4,2.7551,Indirect,0.1461,Unstable
mp-1219884,Pr6S3(OF4)2,2.6461,Direct,0.0,Stable
mp-1220263,Nd6S3(OF4)2,2.669,Direct,0.0266,Stable
mp-1224731,Gd6S3(OF4)2,1.5214,Indirect,0.1,Stable
mp-1234712,MgS8(O5F2)4,0.3839,Indirect,0.1783,Unstable
mp-41092,AsSClOF8,4.0322,Indirect,0.0305,Stable
mp-1198254,Ca3Al2S(OF)8,0.691,Direct,0.3398,Unstable
mp-1194939,Na12Mn3S6(O3F)8,0.5619,Indirect,0.0,Stable
mp-1214666,,0.2631,Direct,0.2373,Unstable
mp-1229176,AsSClOF8,3.8372,Indirect,0.0282,Stable
mp-1247811,,0.4187,Indirect,0.5051,Unstable
mp-695900,,4.5393,Indirect,0.1248,Unstable
mp-23872,,5.8611,Indirect,0.0011,Stable
mp-695196,AsS2N2OF9,0.3272,Indirect,0.5509,Unstable
mp-1211985,K3Zr2S(O2F3)3,0.3535,Indirect,0.1794,Unstable
mp-557900,,3.8215,Indirect,0.0508,Stable
mp-561244,,3.8312,Indirect,0.0858,Stable
mp-1212475,,0.0269,Indirect,0.8982,Unstable
mp-696994,,4.0787,Indirect,0.0024,Stable
mp-1198517,,3.0538,Indirect,0.2225,Unstable
mp-555189,,5.9665,Direct,0.1516,Unstable
mp-699914,,3.1326,Direct,0.6059,Unstable
mp-1198235,,2.7202,Direct,0.1933,Unstable
mp-540953,,5.3632,Indirect,0.1445,Unstable
mp-540955,,5.7748,Indirect,0.1463,Unstable
mp-543032,,6.0577,Indirect,0.1483,Unstable
mp-1196706,,4.9442,Indirect,0.0991,Stable
mp-1203926,,1.9685,Indirect,0.1656,Unstable
mp-1204134,Ba9In4(SF)10,2.2503,Direct,0.0284,Stable
mp-1214763,,0.6846,Direct,0.2056,Unstable
mp-727093,,0.7425,Indirect,0.6746,Unstable
mp-1193289,,4.6288,Indirect,0.0847,Stable
mp-541094,Ta2Hg3S(O2F5)2,2.4645,Indirect,0.0,Stable
mp-541093,Nb2Hg3S(O2F5)2,2.3509,Indirect,0.0,Stable
mp-554788,AsSXeNF10,2.9961,Direct,0.3,Unstable
mp-560450,Sb2SNF11,3.5694,Direct,0.0853,Stable
mp-561235,,4.6609,Indirect,0.0968,Stable
mp-558893,,4.478,Indirect,0.0855,Stable
mp-1204430,,0.544,Indirect,0.1966,Unstable
mp-1196293,,0.1027,Indirect,0.3547,Unstable
mp-723419,Sb2S19F12,1.9679,Indirect,0.0,Stable
mp-28291,Ge(SF6)2,4.9705,Indirect,0.0,Stable
