ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-1196906,0.6526,Indirect,1.0998
mp-23652,1.8506,Direct,0.0142
mp-559882,2.4401,Direct,0.1754
mp-672333,3.1395,Indirect,0.1194
mp-2240084,0.0000,Metal,0.2803
mp-1189777,0.0000,Metal,0.8984
mp-1183000,0.0004,Indirect,0.9474
mp-1183010,0.0000,Metal,0.9131
mp-560773,5.1595,Direct,0.0117
mp-560045,4.3987,Indirect,0.0679
mp-653840,0.0000,Metal,0.0000
mp-1196734,2.7072,Indirect,0.0330
mp-1198154,3.5272,Direct,0.1562
mp-1199373,3.3939,Indirect,0.5895
mp-1202929,0.0000,Metal,0.0242
mp-1204384,0.3084,Indirect,0.5528
mp-1213279,3.0812,Direct,0.1932
mp-735513,2.6821,Indirect,0.0453
mp-849796,3.2835,Indirect,0.0131
mp-1196696,1.8720,Indirect,0.0077
mp-1200739,3.3228,Indirect,0.0281
mp-680067,2.5318,Direct,0.8971
mp-1201631,0.5487,Direct,0.0514
mp-1229293,0.0052,Indirect,0.1169
mp-23660,4.3533,Direct,0.0000
mp-1201712,3.6582,Direct,0.2181
mp-1181719,0.4931,Indirect,0.0000
mp-1202744,4.0958,Indirect,0.3569
mp-1204845,3.4124,Direct,0.4775
mp-1204531,0.0229,Indirect,0.1275
mp-1205047,3.4600,Direct,0.1123
mp-1205165,0.0114,Indirect,0.0773
mp-558541,3.4454,Indirect,0.4082
mp-706670,0.8977,Indirect,0.0069
mp-707816,2.4905,Indirect,0.6177
mp-1205234,3.4640,Indirect,0.5889
mp-1198652,2.8664,Direct,0.1402
mp-1198531,0.5902,Indirect,1.0974
mp-1200704,2.8692,Direct,0.1900
mp-1201812,2.6044,Direct,0.0431
mp-600205,2.6260,Direct,0.2188
mp-721604,1.0156,Indirect,0.1145
mp-603254,3.0168,Direct,0.0546
mp-720855,0.4714,Indirect,0.0731
mp-1199396,2.7683,Direct,0.0225
mp-1196726,2.7848,Indirect,0.0339
mp-559704,4.0792,Indirect,0.3900
mp-706304,2.4583,Direct,0.3354
mp-1199124,5.0711,Indirect,0.0000
mp-707645,5.6809,Indirect,0.0017
mp-1200476,3.0284,Indirect,0.0298
mp-1202475,3.3139,Indirect,0.3013
mp-1215002,2.4575,Indirect,0.1878
mp-1223113,0.3830,Indirect,0.6617
mp-721059,3.3226,Direct,0.3975
mp-705526,3.4106,Indirect,0.3822
mp-643643,4.8714,Indirect,0.0897
mp-728472,3.1831,Indirect,0.1360
mp-746679,2.0123,Indirect,0.1355
mp-28128,2.0930,Indirect,0.0534
mp-27362,1.5102,Direct,0.0000
mp-1206395,2.1340,Indirect,0.6175
mp-28406,3.6424,Indirect,0.0000
mp-554711,2.9570,Indirect,0.1606
mp-23418,1.9398,Indirect,0.0000
mp-1013760,1.1857,Indirect,0.0873
mp-1198863,1.8038,Direct,0.0055
mp-1224250,0.5971,Direct,0.0763
mp-1014204,0.8334,Direct,0.0387
mp-27699,1.7172,Indirect,0.1932
mp-28405,3.7871,Indirect,0.0000
mp-1215990,1.5051,Indirect,0.2743
mp-1179246,0.9757,Direct,0.2108
mp-29573,1.9430,Indirect,0.0060
mp-672186,2.3049,Direct,0.0000
mp-1013730,1.9571,Indirect,0.0677
mp-1021494,1.3910,Indirect,0.0469
mp-560845,1.4078,Indirect,0.0286
mp-1219905,0.7040,Indirect,0.0661
mp-1147535,0.0000,Metal,0.3640
mp-1147576,0.0000,Metal,0.3243
mp-1147578,0.0000,Metal,0.2441
mp-1147581,0.0000,Metal,0.0479
mp-1147601,0.0000,Metal,0.2751
mp-1147579,0.0000,Metal,0.1049
mp-1203568,1.8109,Indirect,0.0000
mp-555435,1.6486,Indirect,0.2603
mp-561329,1.7657,Direct,0.3363
mp-722472,0.5080,Indirect,0.5830
mp-556430,1.9841,Direct,0.3179
mp-1194018,0.1610,Indirect,0.6330
mp-559071,1.6368,Indirect,0.0050
mp-558979,0.8630,Indirect,0.2712
mp-559033,0.8105,Indirect,0.2754
mp-560005,1.8577,Indirect,0.0000
mp-726564,0.0000,Metal,0.3537
mp-1223145,2.7466,Direct,0.0140
mp-1220227,2.8926,Indirect,0.0206
mp-1227009,0.0000,Metal,0.0370
mp-1040450,2.7793,Indirect,0.0163
mp-559847,1.2689,Indirect,0.0000
mp-556040,4.7193,Direct,0.0000
mp-559231,1.6977,Direct,0.2860
mp-653096,1.7076,Indirect,0.2959
mp-1214971,0.6229,Indirect,0.0110
mp-653586,0.2488,Indirect,0.3099
mp-556094,1.0752,Direct,0.0000
mp-554238,0.6432,Direct,0.0370
mp-1190453,2.1611,Indirect,0.0000
mp-1224553,0.0467,Indirect,0.0095
mp-1095455,0.0000,Metal,1.6430
mp-1204181,0.0000,Metal,1.1808
mp-1183030,0.0853,Direct,0.9203
mp-557645,5.1579,Indirect,0.0151
mp-1182214,0.8439,Direct,0.5526
mp-1193396,0.9139,Indirect,0.5234
mp-1201879,0.0000,Metal,0.2599
mp-1201798,4.0761,Indirect,0.0917
mp-1202858,2.1278,Direct,0.0000
mp-1204852,0.3979,Indirect,0.4519
mp-732271,0.6355,Indirect,0.5566
mp-1179294,0.4776,Indirect,0.6128
mp-1179382,0.0340,Indirect,0.4997
mp-1191376,0.0000,Metal,1.0584
mp-1227702,4.2895,Indirect,0.0301
mp-23645,4.2054,Indirect,0.0000
mp-1189153,0.2035,Indirect,0.4578
mp-1214018,0.6080,Indirect,0.6174
mp-1198665,0.0000,Metal,0.7571
mp-1104712,0.0000,Metal,1.0355
mp-42163,4.4998,Indirect,0.0283
mp-695095,3.9740,Indirect,0.0450
mp-23650,2.0902,Indirect,0.3380
mp-605665,2.2877,Indirect,0.0564
mp-1198427,0.5038,Indirect,1.2056
mp-560601,0.7310,Indirect,0.0000
mp-572902,0.1059,Direct,0.0271
mp-1204699,0.9189,Indirect,0.2639
mp-1179389,0.6685,Indirect,0.7314
mp-1196751,0.0000,Metal,0.8674
mp-1199733,0.0000,Metal,1.7698
mp-1200189,4.0150,Indirect,0.1752
mp-707208,2.8942,Indirect,0.0554
mp-726682,0.5733,Indirect,0.7670
mp-773893,3.1101,Indirect,0.1269
mp-1197935,1.3071,Indirect,0.4824
mp-766411,2.0104,Indirect,0.0352
mp-722401,4.1704,Indirect,0.1189
mp-680331,2.0705,Direct,0.1883
mp-1180029,0.0000,Metal,1.2933
mp-1202335,4.3852,Indirect,0.1293
mp-1204310,2.4561,Indirect,0.1892
mp-1205055,0.0000,Metal,1.0377
mp-1229204,0.8687,Direct,0.0070
mp-1200842,3.8023,Indirect,0.0409
mp-1204275,2.0399,Indirect,0.0376
mp-706983,3.0173,Indirect,0.0491
mp-697127,2.0652,Indirect,0.0606
mp-1202516,3.0082,Direct,0.1690
mp-1199791,3.6840,Indirect,0.1865
mp-558736,2.6715,Indirect,0.5060
mp-773113,1.8784,Indirect,0.0562
mp-695946,0.0000,Metal,0.0588
mp-1199306,0.0000,Metal,0.0758
mp-699261,3.3443,Direct,0.0336
mp-1199490,1.6434,Direct,0.0476
mp-723036,0.3877,Indirect,0.1010
mp-555563,3.8268,Direct,0.4016
mp-698381,2.0271,Indirect,0.4693
mp-1227599,3.7859,Direct,0.1302
mp-1199171,1.4274,Indirect,0.3303
mp-1205229,4.1546,Direct,0.3083
mp-1199187,5.1150,Indirect,0.2902
mp-675345,1.4488,Indirect,0.0638
mp-27866,1.4385,Indirect,0.0000
mp-28064,2.8648,Indirect,0.0000
mp-676611,0.9447,Indirect,0.1700
mp-1209339,0.0000,Metal,0.0299
mp-1181100,0.4761,Indirect,0.4272
mp-1194026,0.2995,Indirect,0.0541
mp-1199227,3.5585,Direct,0.2786
mp-1203684,2.9250,Indirect,0.2776
mp-1214856,2.4413,Indirect,0.0853
mp-555688,0.8792,Indirect,0.2335
mp-557085,0.8885,Direct,0.2537
mp-557331,0.9611,Indirect,0.2530
mp-558545,3.1886,Indirect,0.1307
mp-558865,0.9719,Indirect,0.2643
mp-669471,1.9589,Indirect,0.1649
mp-556112,1.9912,Indirect,0.0285
mp-1191097,0.0000,Metal,0.0038
mp-559256,2.9165,Indirect,0.0000
mp-558143,3.0308,Indirect,0.0000
mp-559514,3.0831,Indirect,0.0000
mp-1214223,1.2726,Indirect,0.2116
mp-556418,3.9643,Indirect,0.0000
mp-560879,2.7125,Direct,0.2450
mp-560328,1.2888,Indirect,0.0000
mp-1212663,5.0754,Direct,0.0372
mp-559558,1.8726,Indirect,0.0000
mp-1173865,3.8486,Direct,0.0799
mp-1229155,1.5994,Indirect,0.0000
mp-721012,5.0397,Indirect,0.0153
mp-1223572,1.7769,Indirect,0.0270
mp-690978,1.7566,Indirect,0.0273
mp-1204034,0.7111,Direct,0.9092
mp-1210318,0.6567,Indirect,0.5839
mp-727099,1.3077,Indirect,0.6595
mp-759409,0.3388,Direct,0.0572
mp-1189737,0.0294,Indirect,0.6772
mp-1227756,2.4410,Indirect,0.0117
mp-559765,2.6937,Indirect,0.0515
mp-1191992,1.4860,Indirect,0.8540
mp-722022,0.5370,Indirect,1.1798
mp-1223192,4.3510,Direct,0.0120
mp-1195210,2.6683,Direct,0.2388
mp-1204839,4.0119,Indirect,0.4015
mp-23830,2.6565,Indirect,0.1818
mp-24764,3.8105,Indirect,0.1854
mp-1179444,0.6019,Indirect,0.7165
mp-1204366,0.3590,Direct,0.4286
mp-1204316,1.8301,Indirect,0.3613
mp-738597,2.9000,Indirect,0.2423
mp-1195191,2.2261,Indirect,0.2486
mp-1204771,1.8271,Indirect,0.2867
mp-706528,1.4119,Indirect,0.4637
mp-728315,0.3419,Indirect,1.0548
mp-572601,3.3623,Indirect,0.1172
mp-1209817,0.7563,Indirect,0.5849
mp-711343,0.6185,Indirect,1.3192
mp-1210452,2.7585,Direct,0.0000
mp-29051,1.2552,Direct,0.0000
mp-28242,1.7994,Direct,0.0157
mp-572970,1.9445,Direct,0.0013
mp-640341,1.6862,Indirect,0.0000
mp-1182355,1.1898,Indirect,0.1309
mp-29880,3.5037,Indirect,0.0000
mp-865182,1.7563,Indirect,0.0000
mp-1205307,1.8865,Indirect,0.0059
mp-2017401,2.1759,Direct,0.0036
mp-2017348,2.2983,Direct,0.0078
mp-2422943,2.0094,Indirect,0.0009
mp-27475,1.9734,Indirect,0.0011
mp-756473,1.9497,Indirect,0.0038
mp-979414,1.9830,Indirect,0.0044
mp-558360,2.2534,Indirect,0.0000
mp-561470,1.7334,Indirect,0.3248
mp-1181548,0.0000,Metal,0.3414
mp-652180,0.0706,Indirect,0.7804
mp-672345,0.0000,Metal,0.3548
mp-1191374,0.8916,Indirect,0.1669
mp-1203609,0.4962,Indirect,0.2372
mp-556297,1.3014,Direct,0.1221
mp-557272,1.0462,Indirect,0.1192
mp-560840,2.0362,Indirect,0.2278
mp-614997,2.1230,Indirect,0.0471
mp-1200983,2.0921,Direct,0.0000
mp-1180071,0.0440,Indirect,0.0678
mp-557484,2.0317,Indirect,0.1112
mp-566296,1.6015,Direct,0.2596
mp-1105779,0.0392,Indirect,0.3302
mp-1198672,1.4276,Indirect,0.0000
mp-2217903,0.9003,Indirect,0.2306
mp-2241078,0.8791,Indirect,0.2526
mp-558270,2.3109,Indirect,0.1710
mp-559963,2.1196,Direct,0.0401
mp-560637,2.3285,Indirect,0.1738
mp-2234083,1.1116,Indirect,0.2411
mp-561350,2.8305,Indirect,0.0000
mp-866713,2.3274,Indirect,0.0000
mp-554646,1.9097,Indirect,0.3182
mp-1224205,2.3966,Indirect,0.1459
mp-2229527,0.0000,Metal,0.3931
mp-2229444,0.1962,Indirect,0.3179
mp-2229416,0.4755,Indirect,0.3675
mp-2228916,0.0000,Metal,0.3909
mp-677337,0.0948,Indirect,0.2873
mp-1191290,2.7911,Indirect,0.8974
mp-559061,2.2126,Indirect,0.0325
mp-1179746,0.4274,Indirect,1.3602
mp-1181321,0.0000,Metal,0.9707
mp-1198123,4.6652,Direct,0.0000
mp-1200341,3.9804,Direct,0.1356
mp-1201166,1.7119,Indirect,0.0791
mp-1203285,2.6570,Direct,0.0064
mp-555090,4.6504,Indirect,0.0091
mp-559089,4.0102,Indirect,0.2511
mp-1225472,2.9482,Indirect,0.0000
mp-1238685,2.6601,Indirect,0.0002
mp-2229780,0.6457,Indirect,0.4018
mp-557775,4.1083,Direct,0.1307
mp-556310,1.9832,Indirect,0.0310
mp-560423,4.6462,Indirect,0.0000
mp-1196156,3.1283,Indirect,0.0335
mp-1197904,3.5551,Indirect,0.1219
mp-1204262,0.0000,Metal,0.2079
mp-1204634,0.2273,Direct,0.1877
mp-1204695,1.0245,Indirect,0.2008
mp-1205052,0.2581,Indirect,1.4461
mp-1202327,0.1848,Indirect,0.2309
mp-1202543,0.0690,Indirect,0.2201
mp-1194676,1.6528,Indirect,0.1836
mp-1337931,1.3047,Indirect,0.0064
mp-28192,1.7772,Indirect,0.0000
mp-556023,3.2203,Indirect,0.0000
mp-1179727,1.5419,Direct,0.0000
mp-30157,3.4108,Indirect,0.0201
mp-657300,1.5402,Indirect,0.0045
mp-559738,1.8036,Direct,0.1367
mp-1203263,1.3868,Indirect,0.3550
mp-554079,1.3789,Indirect,0.0924
mp-554153,1.5929,Direct,0.2990
mp-554353,1.4847,Indirect,0.2978
mp-556728,2.3564,Indirect,0.0000
mp-558716,1.0193,Indirect,0.1061
mp-559233,2.3948,Indirect,0.2034
mp-561020,1.6067,Indirect,0.0043
mp-572763,2.1596,Indirect,0.0072
mp-669462,0.4743,Indirect,0.3034
mp-679987,1.7050,Indirect,0.0000
mp-560907,2.0160,Indirect,0.0000
mp-573078,2.2845,Indirect,0.0275
mp-572707,2.3395,Indirect,0.2086
mp-1196151,1.4549,Indirect,0.0000
mp-1208658,1.7349,Indirect,0.0022
mp-555967,1.8505,Indirect,0.0079
mp-557016,2.2644,Indirect,0.0069
mp-558183,0.5402,Indirect,0.1388
mp-560192,2.1827,Indirect,0.0064
mp-559716,0.4905,Indirect,0.1911
mp-561160,1.1910,Indirect,0.0002
mp-1190557,2.3713,Direct,0.0000
mp-572131,1.5149,Indirect,0.2777
mp-556831,2.2488,Indirect,0.1734
mp-638705,1.3164,Indirect,0.2374
mp-556186,4.0553,Indirect,0.1659
mp-662720,3.7997,Direct,0.1679
mp-729342,1.1148,Indirect,0.1986
mp-560777,2.3443,Indirect,0.0457
mp-624218,2.6243,Indirect,0.1134
mp-722501,1.8465,Indirect,0.1746
mp-720928,0.5965,Direct,0.1031
mp-28174,1.7553,Indirect,0.0000
mp-28575,0.6399,Indirect,0.0000
mp-28722,1.8217,Indirect,0.0559
mp-29477,2.9242,Indirect,0.0892
mp-559940,1.7401,Indirect,0.0127
mp-1205421,3.3005,Direct,0.0000
mp-1213776,0.1448,Direct,0.0138
mp-554183,2.5687,Direct,0.0000
mp-554265,3.2869,Indirect,0.0001
mp-557792,3.2563,Indirect,0.0000
mp-560517,2.6561,Indirect,0.0208
mp-561355,2.6504,Indirect,0.0220
mp-558135,1.5970,Indirect,0.0000
mp-554370,2.6537,Indirect,0.0222
mp-559350,1.5597,Direct,0.1689
mp-608398,1.8326,Indirect,0.0937
mp-661715,0.0000,Metal,1.3660
mp-989517,0.0000,Metal,0.0644
mp-989518,0.0000,Metal,0.0679
mp-989587,0.0000,Metal,0.1113
mp-647878,1.7915,Indirect,0.2878
mp-1208924,1.0792,Direct,0.0000
mp-555056,1.6653,Direct,0.1244
mp-1197977,3.6248,Direct,0.1789
mp-1200783,1.7539,Indirect,0.5651
mp-1204112,2.1793,Indirect,0.1757
mp-1196966,1.5094,Indirect,0.5758
mp-866812,0.1830,Indirect,0.0000
mp-1201123,1.7797,Indirect,0.5303
mp-2239851,0.7640,Indirect,0.2111
mp-559879,2.6688,Direct,0.1316
mp-2217785,0.1388,Indirect,0.3060
mp-2223676,0.7927,Indirect,0.2111
mp-1200711,2.5541,Indirect,0.2437
mp-561214,2.0460,Direct,0.1568
mp-1204218,2.6062,Direct,0.1677
mp-1198926,1.0400,Indirect,0.0568
mp-698272,1.1369,Indirect,0.1966
mp-1220771,0.0900,Indirect,0.6288
mp-29264,1.6685,Indirect,0.0000
mp-556587,1.8191,Direct,0.0000
mp-649334,1.4278,Indirect,0.0000
mp-866711,0.6859,Direct,0.0544
mp-680059,1.6865,Indirect,0.0000
mp-555805,2.4961,Direct,0.0000
mp-555282,2.5190,Indirect,0.1301
mp-585964,1.8447,Indirect,0.1512
mp-699535,1.8759,Indirect,0.1640
mp-1217392,2.3490,Indirect,0.0015
mp-1228296,2.6061,Direct,0.0000
mp-554511,1.5236,Indirect,0.0157
mp-1227999,2.3721,Indirect,0.0000
mp-560884,2.8827,Indirect,0.0000
mp-555254,0.6693,Indirect,0.1492
mp-28721,1.9198,Direct,0.0000
mp-29568,1.8602,Indirect,0.0000
mp-2218333,0.1396,Indirect,0.2043
mp-2218459,0.3822,Indirect,0.1743
mp-2218594,0.5906,Indirect,0.1822
mp-2218742,0.4474,Indirect,0.1872
mp-1104411,2.7814,Indirect,0.0000
mp-554625,1.8257,Indirect,0.0573
mp-559303,0.5156,Direct,0.0755
mp-1220410,0.1225,Indirect,0.1220
mp-648140,2.5981,Indirect,0.0201
mp-1195160,1.2722,Direct,0.0060
mp-1194539,1.9032,Direct,0.0000
mp-1105330,0.0000,Metal,0.0000
mp-735424,1.7207,Indirect,0.3759
mp-1210407,0.0000,Metal,0.8815
mp-720895,1.3492,Direct,0.0854
mp-707926,1.4461,Indirect,0.0816
mp-557809,1.7743,Direct,0.0000
mp-1209710,2.1879,Direct,0.0150
mp-559337,1.2212,Indirect,0.0174
mp-28772,1.6343,Direct,0.0124
mp-28103,0.4958,Indirect,0.0137
mp-669465,2.1287,Indirect,0.1497
mp-1188245,0.0000,Metal,1.1673
mp-555900,1.6183,Indirect,0.0020
mp-621112,1.7925,Indirect,0.0000
mp-601227,0.0164,Indirect,0.3773
mp-1205281,0.1064,Indirect,1.4834
mp-704608,2.0977,Direct,0.2023
mp-648469,1.8468,Indirect,0.0720
mp-28211,1.8369,Indirect,0.0000
mp-555493,0.3737,Indirect,0.0728
mp-556726,0.7012,Indirect,0.0384
mp-624474,0.0961,Direct,0.0442
mp-649080,1.9423,Indirect,0.0161
mp-28865,0.0327,Indirect,0.0202
mp-1214681,3.3273,Indirect,0.1833
mp-2230438,0.5763,Indirect,0.1484
mp-2230365,0.6648,Indirect,0.1278
mp-653758,0.0005,Indirect,0.0668
mp-706455,1.2323,Direct,0.2546
mp-1196451,2.0643,Direct,0.0000
mp-1203403,1.5729,Indirect,0.3152
mp-1212273,0.0220,Indirect,0.3346
mp-676473,2.8019,Indirect,0.0258
mp-974332,0.0000,Metal,0.6185
mp-28099,2.2489,Indirect,0.0000
mp-721815,0.0000,Metal,0.0878
mp-1208299,2.9277,Indirect,0.0000
mp-1208844,2.9463,Indirect,0.0000
mp-1209293,2.8424,Indirect,0.0000
mp-1212521,1.6455,Indirect,0.0846
mp-27180,2.6382,Indirect,0.0000
mp-27245,3.6835,Direct,0.0000
mp-555279,3.6178,Indirect,0.0014
mp-652046,1.6485,Indirect,0.0000
mp-29231,0.0000,Metal,0.0280
mp-1209893,0.0000,Metal,0.0259
mp-554769,0.7950,Indirect,0.0172
mp-1215080,0.3945,Direct,1.7073
mp-510347,1.1149,Indirect,0.0000
mp-1103194,1.7634,Indirect,0.0020
mp-36600,0.3977,Indirect,0.0683
mp-1207325,1.6791,Indirect,1.9467
mp-1207375,0.0295,Indirect,1.9483
mp-27246,2.9943,Direct,0.0000
mp-22998,0.0000,Metal,0.0000
mp-28928,2.8776,Direct,0.0000
mp-560054,2.7179,Indirect,0.4012
mp-1229116,0.3987,Indirect,0.0637
mp-1209341,2.7479,Indirect,0.0022
mp-1211452,2.7908,Indirect,0.0000
mp-1213818,0.0000,Metal,0.0272
mp-22971,1.7767,Indirect,0.0000
mp-23324,2.0320,Indirect,0.0000
mp-1105645,0.2964,Indirect,0.0983
mp-1229151,0.5666,Indirect,0.0653
mp-703875,2.6796,Indirect,0.0110
mp-1078379,0.2637,Indirect,0.2748
mp-1206068,1.6270,Indirect,0.0027
mp-554061,0.6737,Direct,0.0138
mp-557805,0.7358,Direct,0.0001
mp-559864,1.5308,Indirect,0.0000
mp-559588,1.5285,Indirect,0.0136
mp-561079,1.7295,Indirect,0.0177
mp-1213133,1.2396,Indirect,0.0945
mp-557980,0.9281,Indirect,0.3570
mp-1194050,0.0000,Metal,0.0769
mp-555527,2.6145,Direct,0.0000
mp-559237,2.6640,Direct,0.0000
mp-560523,2.5520,Indirect,0.0000
mp-560468,2.6881,Direct,0.0000
mp-669378,0.0883,Indirect,0.0000
mp-1224043,0.9666,Direct,0.0085
mp-555074,1.5415,Indirect,0.0017
mp-1225964,0.8068,Indirect,0.0081
mp-1196166,1.9335,Indirect,0.0005
mp-985591,2.1394,Indirect,0.0505
mp-1229171,0.5861,Indirect,0.0811
mp-555267,0.5100,Indirect,0.0309
mp-560067,1.2604,Indirect,0.0000
mp-554879,0.4492,Indirect,0.0288
mp-555645,0.5368,Direct,0.0328
mp-1195713,0.4962,Indirect,0.0119
mp-1202647,1.8641,Indirect,0.0000
mp-1204726,3.0328,Direct,0.0000
mp-554459,1.3802,Indirect,0.0000
mp-559019,1.3990,Indirect,0.0000
mp-559994,1.4091,Indirect,0.0000
mp-629511,0.0000,Metal,0.0000
mp-680421,0.0000,Metal,0.0000
mp-1197804,1.7400,Indirect,0.0000
mp-1188137,0.0000,Metal,0.3000
mp-554627,0.8184,Direct,0.0015
mp-1199707,0.0000,Metal,0.5745
mp-1198103,1.8225,Direct,0.0000
mp-1214973,0.0000,Metal,0.7260
mp-1197719,2.2876,Indirect,0.0000
mp-695929,4.9149,Indirect,0.0000
mp-1223297,0.3095,Indirect,0.0354
mp-849797,4.5168,Direct,0.0231
mp-1212553,3.2492,Indirect,0.0376
mp-1238949,3.1361,Indirect,0.0382
mp-559836,3.3437,Indirect,0.4138
mp-1224197,0.8789,Indirect,0.5993
mp-676501,3.4126,Indirect,0.0108
mp-703380,3.5399,Indirect,0.1852
mp-1199516,4.4523,Indirect,0.0361
mp-1202066,2.9647,Direct,0.0238
mp-1212907,3.0420,Indirect,0.2526
mp-555975,4.3157,Indirect,0.1836
mp-740707,3.1406,Indirect,0.0286
mp-1196395,0.0000,Metal,0.1909
mp-1196575,4.3089,Direct,0.2589
mp-600217,2.5243,Direct,0.2137
mp-1224979,3.9773,Indirect,0.2744
mp-1197738,2.7521,Direct,0.0233
mp-1200682,3.1030,Indirect,0.0236
mp-1079264,1.4107,Indirect,0.0008
mp-29096,1.4870,Indirect,0.0000
mp-559832,1.6090,Indirect,0.0015
mp-1079487,1.5000,Indirect,0.0000
mp-540792,2.4518,Indirect,0.0000
mp-28407,2.7573,Direct,0.0000
mp-1201162,2.0926,Indirect,0.0000
mp-683875,2.2651,Direct,0.0035
mp-28037,0.9875,Direct,0.0000
mp-1147540,0.0000,Metal,0.2801
mp-1147542,0.0000,Metal,0.0129
mp-1194529,2.1758,Indirect,0.1329
mp-1226093,0.0000,Metal,0.0538
mp-554096,2.3372,Direct,0.0520
mp-622294,2.2960,Indirect,0.0917
mp-622273,2.3956,Indirect,0.0719
mp-643460,1.9290,Indirect,0.0057
mp-683890,1.8417,Indirect,0.0000
mp-680334,2.1637,Indirect,0.0000
mp-680417,0.0000,Metal,0.0202
mp-860792,2.4037,Indirect,0.0141
mp-555484,0.7769,Indirect,0.2175
mp-1214970,0.5586,Indirect,0.0143
mp-1179209,0.1191,Indirect,0.7679
mp-1190896,0.0000,Metal,1.0532
mp-1199674,0.3125,Indirect,0.8798
mp-1328634,0.0006,Indirect,1.9461
mp-1228968,2.0767,Indirect,0.0021
mp-1228355,1.9955,Indirect,0.0025
mp-1104819,0.3750,Indirect,0.5042
mp-1179978,0.0955,Indirect,0.7840
mp-1192716,0.0549,Indirect,0.6296
mp-733454,0.5436,Indirect,0.7304
mp-1204117,4.4445,Direct,0.0151
mp-1202739,2.6829,Indirect,0.6660
mp-849798,3.1878,Direct,0.0701
mp-1205035,0.0292,Direct,0.2529
mp-1202797,2.7767,Direct,0.0356
mp-1201772,2.5453,Indirect,0.3124
mp-1205248,2.8523,Indirect,0.1138
mp-707239,2.5558,Indirect,0.1117
mp-1202532,1.0839,Indirect,0.0378
mp-556327,2.4046,Indirect,0.1230
mp-697260,3.3531,Direct,0.0421
mp-1106319,0.3846,Indirect,0.7050
mp-974330,0.0000,Metal,0.1934
mp-27378,1.7302,Indirect,0.1775
mp-1228012,1.3293,Indirect,0.0107
mp-1079481,0.1479,Indirect,0.3612
mp-1209349,0.0000,Metal,0.0275
mp-863030,2.6424,Indirect,0.0077
mp-558847,1.8744,Indirect,0.0690
mp-669564,1.6143,Indirect,0.0057
mp-1224301,0.0000,Metal,0.1156
mp-1202203,1.4823,Direct,0.0061
mp-1199298,0.3490,Direct,0.2163
mp-1182632,1.5168,Indirect,0.1927
mp-1196552,0.1294,Indirect,0.1706
mp-1204309,0.0000,Metal,0.2793
mp-28518,1.8121,Direct,0.0044
mp-559911,0.6915,Indirect,0.0000
mp-561582,1.2761,Indirect,0.0000
mp-1214257,2.6761,Direct,0.1336
mp-1214179,2.7805,Indirect,0.1297
mp-2217831,1.1908,Indirect,0.1606
mp-2240954,0.6305,Indirect,0.2838
mp-559900,1.2881,Direct,0.1139
mp-2241507,0.8101,Indirect,0.2864
mp-1193765,0.0000,Metal,0.6117
mp-731744,0.8111,Indirect,0.5037
mp-2229216,0.7182,Indirect,0.3708
mp-1191291,2.4712,Direct,0.9014
mp-1223434,0.4332,Indirect,0.0107
mp-2229658,0.6042,Indirect,0.3680
mp-2229921,0.4932,Indirect,0.3699
mp-557580,1.9085,Indirect,0.1870
mp-28297,2.8500,Indirect,0.0202
mp-1204377,2.1407,Direct,0.0097
mp-561414,2.0351,Indirect,0.0611
mp-555088,2.8096,Indirect,0.0189
mp-1245640,2.2614,Indirect,0.0430
mp-1207395,1.8586,Direct,0.0000
mp-555833,1.7802,Indirect,0.0000
mp-556341,1.4006,Indirect,0.0000
mp-1196084,1.7688,Direct,0.6149
mp-29057,0.7444,Direct,0.0000
mp-29599,1.3351,Direct,0.0000
mp-31015,0.8133,Indirect,0.0049
mp-573274,0.0380,Indirect,0.0000
mp-1182756,1.7601,Indirect,0.0000
mp-559724,1.2971,Indirect,0.1319
mp-1197449,0.1156,Indirect,0.4824
mp-556239,1.7750,Indirect,0.0000
mp-558099,1.6588,Indirect,0.0141
mp-674324,2.0136,Indirect,0.1110
mp-1180384,0.1464,Indirect,0.2742
mp-1211937,0.5802,Indirect,0.0051
mp-1213734,0.5780,Indirect,0.0000
mp-559037,0.5826,Indirect,0.0000
mp-680340,0.3199,Indirect,0.2523
mp-1197248,0.0000,Metal,0.7045
mp-632480,0.1676,Indirect,0.0737
mp-673825,0.2570,Indirect,0.0848
mp-676121,0.3739,Indirect,0.0739
mp-685999,0.0000,Metal,0.2730
mp-22995,0.5478,Indirect,0.0668
mp-1214225,1.6642,Indirect,0.1104
mp-676561,0.3330,Indirect,0.0776
mp-2762805,0.5914,Indirect,0.0000
mp-541073,2.4395,Indirect,0.0000
mp-1211900,1.0356,Direct,0.1631
mp-2912506,1.3709,Direct,0.1484
mp-1080544,0.0000,Metal,0.5026
mp-1207611,1.0647,Indirect,0.3283
mp-1208330,1.1186,Indirect,0.2979
mp-1207695,1.1277,Indirect,0.3465
mp-1212974,1.1142,Indirect,0.3235
mp-1210823,1.1589,Indirect,0.3525
mp-1062795,0.0000,Metal,0.6646
mp-1209965,0.0000,Metal,0.0112
mp-1210554,0.9080,Indirect,0.0229
mp-1215073,0.4024,Direct,1.6990
mp-558189,0.6243,Indirect,0.1164
mp-1095595,1.6628,Indirect,0.0025
