ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-1235337,0.0000,Metal,0.2335
mp-1235206,1.0342,Indirect,0.1887
mp-1235506,0.9722,Indirect,0.1929
mp-1235317,1.0414,Indirect,0.2071
mp-1236214,0.6569,Indirect,0.2376
mp-1236687,1.0017,Indirect,0.1966
mp-2232163,3.7741,Indirect,0.1237
mp-2232217,3.6246,Indirect,0.0919
mp-2232231,3.6659,Indirect,0.0840
mp-551403,1.8181,Indirect,0.0264
mp-549237,1.4677,Indirect,0.0415
mp-1196019,5.5093,Direct,0.0855
mp-1196656,3.4899,Indirect,0.1158
mp-1196465,0.1913,Direct,0.2101
mp-1199269,5.4444,Indirect,0.0904
mp-1201634,5.3421,Indirect,0.0895
mp-541750,5.5362,Indirect,0.0773
mp-559393,5.8248,Indirect,0.1713
mp-566960,2.4013,Indirect,0.1665
mp-561001,2.2391,Indirect,0.3650
mp-696993,3.8681,Indirect,0.0240
mp-863004,0.1530,Indirect,0.1431
mp-643586,5.6738,Indirect,0.0000
mp-1227873,4.4312,Direct,0.0203
mp-559971,5.9008,Indirect,0.0956
mp-1215742,1.3358,Direct,1.2165
mp-1222075,1.3063,Indirect,1.3686
mp-1227460,1.6242,Indirect,1.3354
mp-2232096,3.8031,Direct,0.0539
mp-648193,3.8506,Direct,0.2741
mp-1213195,4.6564,Indirect,0.0000
mp-554732,4.6867,Indirect,0.0000
mp-1105944,5.8161,Indirect,0.0769
mp-698122,0.8905,Indirect,0.6139
mp-1235067,0.0000,Metal,0.2481
mp-1236147,0.8435,Indirect,0.2425
mp-1235827,0.8359,Indirect,0.2449
mp-1194885,2.4277,Indirect,0.0000
mp-1194982,2.5691,Direct,0.0000
mp-1195590,1.4180,Direct,0.0000
mp-652068,5.6585,Direct,0.0908
mp-720360,5.1477,Indirect,0.0060
mp-558888,4.8031,Indirect,0.2883
mp-1195326,4.8222,Direct,0.4443
mp-1203356,3.6948,Indirect,0.1686
mp-1105350,4.8046,Indirect,0.4461
mp-1192972,0.0392,Direct,1.9327
mp-555146,4.5234,Direct,0.3548
mp-554187,4.7744,Indirect,0.3255
mp-643446,5.3640,Indirect,0.0010
mp-27717,2.4626,Indirect,0.0703
mp-1209117,4.2402,Direct,0.3541
mp-16813,1.9675,Indirect,0.1912
mp-560021,1.4998,Indirect,0.0000
mp-769377,1.8907,Direct,0.0584
mp-768093,0.9792,Indirect,0.0672
mp-1225708,1.7451,Direct,0.0487
mp-695305,5.9224,Indirect,0.1466
mp-769603,1.2039,Indirect,0.0479
mp-1190551,2.0527,Direct,0.0049
mp-1181304,1.4496,Indirect,0.3582
mp-1199926,0.0000,Metal,0.0000
mp-1200256,3.3060,Indirect,0.1579
mp-1201933,6.9361,Direct,0.1814
mp-1212181,0.3744,Indirect,0.6857
mp-19488,1.7470,Indirect,0.0000
mp-18838,1.5234,Indirect,0.0000
mp-24357,6.3838,Indirect,0.1351
mp-555309,1.3824,Direct,0.3057
mp-555625,5.0565,Indirect,0.2092
mp-555503,3.6340,Indirect,0.1446
mp-558648,4.6094,Direct,0.0802
mp-559873,4.7392,Direct,0.2104
mp-560139,2.7650,Indirect,0.3550
mp-636952,6.6079,Indirect,0.1643
mp-720860,6.0024,Indirect,0.1167
mp-706514,6.2244,Indirect,0.1218
mp-769602,2.2545,Indirect,0.0907
mp-1188917,2.7068,Indirect,0.1527
mp-555016,3.2494,Indirect,0.3163
mp-557969,6.6249,Indirect,0.0100
