formula,in_final_main6,in_excluded_training_overlap,final_file,excluded_file,dft_files,main6_type,main6_source_dir
AlCuSeBr2,Yes,No,AlCuSeBr2.cif,,CuAlSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlCuSeCl2,Yes,No,AlCuSeCl2.cif,,CuAlSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlCuSeI2,Yes,No,AlCuSeI2.cif,,CuAlSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlCuTeBr2,Yes,No,AlCuTeBr2.cif,,CuAlTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlCuTeCl2,Yes,No,AlCuTeCl2.cif,,CuAlTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlCuTeI2,Yes,No,AlCuTeI2.cif,,CuAlTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlTeAuBr2,Yes,No,AlTeAuBr2.cif,,AuAlTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
AlTeAuCl2,Yes,No,AlTeAuCl2.cif,,AuAlTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
AlTeAuI2,Yes,No,AlTeAuI2.cif,,AuAlTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
BiAuSBr2,Yes,No,BiAuSBr2.cif,,AuBiSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiAuSCl2,Yes,No,BiAuSCl2.cif,,AuBiSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiAuSI2,Yes,No,BiAuSI2.cif,,AuBiSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiAuSeBr2,Yes,No,BiAuSeBr2.cif,,AuBiSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiAuSeCl2,Yes,No,BiAuSeCl2.cif,,AuBiSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiAuSeI2,Yes,No,BiAuSeI2.cif,,AuBiSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiTeAuBr2,Yes,No,BiTeAuBr2.cif,,AuBiTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiTeAuCl2,Yes,No,BiTeAuCl2.cif,,AuBiTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
BiTeAuI2,Yes,No,BiTeAuI2.cif,,AuBiTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSBr2,Yes,No,CsAlSBr2.cif,,CsAlSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSCl2,Yes,No,CsAlSCl2.cif,,CsAlSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSI2,Yes,No,CsAlSI2.cif,,CsAlSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSeBr2,Yes,No,CsAlSeBr2.cif,,CsAlSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSeCl2,Yes,No,CsAlSeCl2.cif,,CsAlSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlSeI2,Yes,No,CsAlSeI2.cif,,CsAlSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlTeBr2,Yes,No,CsAlTeBr2.cif,,CsAlTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlTeCl2,Yes,No,CsAlTeCl2.cif,,CsAlTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsAlTeI2,Yes,No,CsAlTeI2.cif,,CsAlTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSBr2,Yes,No,CsBiSBr2.cif,,CsBiSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSCl2,Yes,No,CsBiSCl2.cif,,CsBiSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSI2,Yes,No,CsBiSI2.cif,,CsBiSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSeBr2,Yes,No,CsBiSeBr2.cif,,CsBiSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSeCl2,Yes,No,CsBiSeCl2.cif,,CsBiSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiSeI2,Yes,No,CsBiSeI2.cif,,CsBiSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiTeBr2,Yes,No,CsBiTeBr2.cif,,CsBiTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiTeCl2,Yes,No,CsBiTeCl2.cif,,CsBiTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsBiTeI2,Yes,No,CsBiTeI2.cif,,CsBiTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSBr2,Yes,No,CsGaSBr2.cif,,CsGaSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSCl2,Yes,No,CsGaSCl2.cif,,CsGaSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSI2,Yes,No,CsGaSI2.cif,,CsGaSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSeBr2,Yes,No,CsGaSeBr2.cif,,CsGaSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSeCl2,Yes,No,CsGaSeCl2.cif,,CsGaSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaSeI2,Yes,No,CsGaSeI2.cif,,CsGaSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaTeBr2,Yes,No,CsGaTeBr2.cif,,CsGaTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaTeCl2,Yes,No,CsGaTeCl2.cif,,CsGaTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsGaTeI2,Yes,No,CsGaTeI2.cif,,CsGaTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInSBr2,Yes,No,CsInSBr2.cif,,CsInSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInSCl2,Yes,No,CsInSCl2.cif,,CsInSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInSI2,Yes,No,CsInSI2.cif,,CsInSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInSeBr2,Yes,No,CsInSeBr2.cif,,CsInSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInSeCl2,Yes,No,CsInSeCl2.cif,,CsInSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
