pattern,schema,charge_rule,training_support,selected_for_current_generation,coverage_plan,theoretical_whitelist_formulas,generated_new_cifs,current_relaxed_cifs,already_existing_or_skipped,examples,current_available_unique_cifs_all_sources,predict_final_cifs,note
B2C1_Ch2_X3,B2 C Ch2 X3,"2*B(+2) + 1*C(+3) + 2*Ch(-2) + 3*X(-1) = 0; |+|=7, |-|=7",3,No,Type3 base grid,3360,0,0,,Sn2SbSe2I3;Sn2SbS2I3;Sn2SbS2I3,1811,32,"base grid counted in predict_final/type3 dirs, not in training-template generated_new_cifs"
C1C1_Ch1_X4,C C Ch X4,"1*C(+3) + 1*C(+3) + 1*Ch(-2) + 4*X(-1) = 0; |+|=6, |-|=6",3,No,not expanded,2280,0,0,,AlBiSCl4;AlBiTeCl4;AlBiSeCl4,9,9,
C3_Ch4_X1,C3 Ch4 X,"3*C(+3) + 4*Ch(-2) + 1*X(-1) = 0; |+|=9, |-|=9",3,No,not expanded,240,0,0,,La3Te4Br;La3Se4Cl;Bi3Se4Br,21,21,
A2C2C2_Ch3_X8,A2 C2 C2 Ch3 X8,"2*A(+1) + 2*C(+3) + 2*C(+3) + 3*Ch(-2) + 8*X(-1) = 0; |+|=14, |-|=14",2,No,not expanded,18240,0,0,,Al2Ag2Bi2S3Cl8;Al2Cu2Bi2S3Cl8,22,22,
A3C2_Ch4_X1,A3 C2 Ch4 X,"3*A(+1) + 2*C(+3) + 4*Ch(-2) + 1*X(-1) = 0; |+|=9, |-|=9",2,No,not expanded,1920,0,0,,Cu3Bi2S4Br;Cu3Bi2S4Cl,10,10,
B5_Ch4_X2,B5 Ch4 X2,"5*B(+2) + 4*Ch(-2) + 2*X(-1) = 0; |+|=10, |-|=10",2,No,not expanded,168,0,0,,Sn5(S2Cl)2;Sn5(S2Cl)2,11,11,
C19_Ch27_X3,C19 Ch27 X3,"19*C(+3) + 27*Ch(-2) + 3*X(-1) = 0; |+|=57, |-|=57",2,No,not expanded,240,0,0,,Bi19(S9I)3;Bi19(S9Br)3,10,10,
C7C8_Ch8_X29,C7 C8 Ch8 X29,"7*C(+3) + 8*C(+3) + 8*Ch(-2) + 29*X(-1) = 0; |+|=45, |-|=45",2,No,not expanded,4560,0,0,,Ga8Sb7Te8Cl29;Ga8Sb7Se8Cl29,10,10,
A2C2_Ch3_X2,A2 C2 Ch3 X2,"2*A(+1) + 2*C(+3) + 3*Ch(-2) + 2*X(-1) = 0; |+|=8, |-|=8",1,No,not expanded,1920,0,0,,Ag2Bi2S3Cl2,11,11,
A5C1_Ch3_X2,A5 C Ch3 X2,"5*A(+1) + 1*C(+3) + 3*Ch(-2) + 2*X(-1) = 0; |+|=8, |-|=8",1,No,not expanded,1920,0,0,,Li5SbS3I2,11,11,
A6C1_Ch4_X1,A6 C Ch4 X,"6*A(+1) + 1*C(+3) + 4*Ch(-2) + 1*X(-1) = 0; |+|=9, |-|=9",1,No,not expanded,1920,0,0,,K6InTe4Cl,11,11,
B18C8_Ch21_X18,B18 C8 Ch21 X18,"18*B(+2) + 8*C(+3) + 21*Ch(-2) + 18*X(-1) = 0; |+|=60, |-|=60",1,No,not expanded,3360,0,0,,Ba18In8(S7F6)3,11,11,
B2B2_Ch1_X6,B2 B2 Ch X6,"2*B(+2) + 2*B(+2) + 1*Ch(-2) + 6*X(-1) = 0; |+|=8, |-|=8",1,No,not expanded,1092,0,0,,Ca2Ni2SF6,11,11,
B2_Ch1_X2,B2 Ch X2,"2*B(+2) + 1*Ch(-2) + 2*X(-1) = 0; |+|=4, |-|=4",1,No,not expanded,168,0,0,,Sn2SI2,11,11,
B3C1_Ch2_X5,B3 C Ch2 X5,"3*B(+2) + 1*C(+3) + 2*Ch(-2) + 5*X(-1) = 0; |+|=9, |-|=9",1,No,not expanded,3360,0,0,,Sn3SbSe2I5,11,11,
B6_Ch5_X2,B6 Ch5 X2,"6*B(+2) + 5*Ch(-2) + 2*X(-1) = 0; |+|=12, |-|=12",1,No,not expanded,168,0,0,,Zn6S5Cl2,11,11,
