formula,reduced_formula,b_site_plus2,c_site_plus3,chalcogen_minus2,halide_minus1,template,charge_check
Ba2GaSe2F3,Ba2GaSe2F3,Ba,Ga,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaSe2Cl3,Ba2GaSe2Cl3,Ba,Ga,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaSe2Br3,Ba2GaSe2Br3,Ba,Ga,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaSe2I3,Ba2GaSe2I3,Ba,Ga,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaTe2F3,Ba2GaTe2F3,Ba,Ga,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaTe2Cl3,Ba2GaTe2Cl3,Ba,Ga,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaTe2Br3,Ba2GaTe2Br3,Ba,Ga,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2GaTe2I3,Ba2GaTe2I3,Ba,Ga,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InS2F3,Ba2InS2F3,Ba,In,S,F,Pb2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InS2Cl3,Ba2InS2Cl3,Ba,In,S,Cl,Pb2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InS2Br3,Ba2InS2Br3,Ba,In,S,Br,Pb2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InS2I3,Ba2InS2I3,Ba,In,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InSe2F3,Ba2InSe2F3,Ba,In,Se,F,Pb2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InSe2Cl3,Ba2InSe2Cl3,Ba,In,Se,Cl,Pb2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InSe2Br3,Ba2InSe2Br3,Ba,In,Se,Br,Pb2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InSe2I3,Ba2InSe2I3,Ba,In,Se,I,Pb2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InTe2F3,Ba2InTe2F3,Ba,In,Te,F,Pb2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InTe2Cl3,Ba2InTe2Cl3,Ba,In,Te,Cl,Pb2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InTe2Br3,Ba2InTe2Br3,Ba,In,Te,Br,Pb2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2InTe2I3,Ba2InTe2I3,Ba,In,Te,I,Pb2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScS2F3,Ba2ScS2F3,Ba,Sc,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScS2Cl3,Ba2ScS2Cl3,Ba,Sc,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScS2Br3,Ba2ScS2Br3,Ba,Sc,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScS2I3,Ba2ScS2I3,Ba,Sc,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScSe2F3,Ba2ScSe2F3,Ba,Sc,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScSe2Cl3,Ba2ScSe2Cl3,Ba,Sc,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScSe2Br3,Ba2ScSe2Br3,Ba,Sc,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScSe2I3,Ba2ScSe2I3,Ba,Sc,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScTe2F3,Ba2ScTe2F3,Ba,Sc,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScTe2Cl3,Ba2ScTe2Cl3,Ba,Sc,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScTe2Br3,Ba2ScTe2Br3,Ba,Sc,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ScTe2I3,Ba2ScTe2I3,Ba,Sc,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YS2F3,Ba2YS2F3,Ba,Y,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YS2Cl3,Ba2YS2Cl3,Ba,Y,S,Cl,Pb2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YS2Br3,Ba2YS2Br3,Ba,Y,S,Br,Pb2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YS2I3,Ba2YS2I3,Ba,Y,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YSe2F3,Ba2YSe2F3,Ba,Y,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YSe2Cl3,Ba2YSe2Cl3,Ba,Y,Se,Cl,Pb2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YSe2Br3,Ba2YSe2Br3,Ba,Y,Se,Br,Pb2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YSe2I3,Ba2YSe2I3,Ba,Y,Se,I,Pb2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YTe2F3,Ba2YTe2F3,Ba,Y,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YTe2Cl3,Ba2YTe2Cl3,Ba,Y,Te,Cl,Pb2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YTe2Br3,Ba2YTe2Br3,Ba,Y,Te,Br,Pb2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2YTe2I3,Ba2YTe2I3,Ba,Y,Te,I,Pb2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaS2F3,Ba2LaS2F3,Ba,La,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaS2Cl3,Ba2LaS2Cl3,Ba,La,S,Cl,Pb2BiS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaS2Br3,Ba2LaS2Br3,Ba,La,S,Br,Pb2BiS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaS2I3,Ba2LaS2I3,Ba,La,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaSe2F3,Ba2LaSe2F3,Ba,La,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaSe2Cl3,Ba2LaSe2Cl3,Ba,La,Se,Cl,Pb2BiSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaSe2Br3,Ba2LaSe2Br3,Ba,La,Se,Br,Pb2BiSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaSe2I3,Ba2LaSe2I3,Ba,La,Se,I,Pb2BiSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaTe2F3,Ba2LaTe2F3,Ba,La,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaTe2Cl3,Ba2LaTe2Cl3,Ba,La,Te,Cl,Pb2BiTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaTe2Br3,Ba2LaTe2Br3,Ba,La,Te,Br,Pb2BiTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LaTe2I3,Ba2LaTe2I3,Ba,La,Te,I,Pb2BiTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuS2F3,Ba2LuS2F3,Ba,Lu,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuS2Cl3,Ba2LuS2Cl3,Ba,Lu,S,Cl,Pb2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuS2Br3,Ba2LuS2Br3,Ba,Lu,S,Br,Pb2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuS2I3,Ba2LuS2I3,Ba,Lu,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuSe2F3,Ba2LuSe2F3,Ba,Lu,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuSe2Cl3,Ba2LuSe2Cl3,Ba,Lu,Se,Cl,Pb2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuSe2Br3,Ba2LuSe2Br3,Ba,Lu,Se,Br,Pb2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuSe2I3,Ba2LuSe2I3,Ba,Lu,Se,I,Pb2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuTe2F3,Ba2LuTe2F3,Ba,Lu,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuTe2Cl3,Ba2LuTe2Cl3,Ba,Lu,Te,Cl,Pb2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuTe2Br3,Ba2LuTe2Br3,Ba,Lu,Te,Br,Pb2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2LuTe2I3,Ba2LuTe2I3,Ba,Lu,Te,I,Pb2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiS2F3,Ba2BiS2F3,Ba,Bi,S,F,Pb2BiS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiS2Cl3,Ba2BiS2Cl3,Ba,Bi,S,Cl,Pb2BiS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiS2Br3,Ba2BiS2Br3,Ba,Bi,S,Br,Pb2BiS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiS2I3,Ba2BiS2I3,Ba,Bi,S,I,Ge2BiS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiSe2F3,Ba2BiSe2F3,Ba,Bi,Se,F,Pb2BiSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiSe2Cl3,Ba2BiSe2Cl3,Ba,Bi,Se,Cl,Pb2BiSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiSe2Br3,Ba2BiSe2Br3,Ba,Bi,Se,Br,Pb2BiSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiSe2I3,Ba2BiSe2I3,Ba,Bi,Se,I,Pb2BiSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiTe2F3,Ba2BiTe2F3,Ba,Bi,Te,F,Pb2BiTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiTe2Cl3,Ba2BiTe2Cl3,Ba,Bi,Te,Cl,Pb2BiTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiTe2Br3,Ba2BiTe2Br3,Ba,Bi,Te,Br,Pb2BiTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2BiTe2I3,Ba2BiTe2I3,Ba,Bi,Te,I,Pb2BiTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbS2F3,Ba2SbS2F3,Ba,Sb,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbS2Cl3,Ba2SbS2Cl3,Ba,Sb,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbS2Br3,Ba2SbS2Br3,Ba,Sb,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbS2I3,Ba2SbS2I3,Ba,Sb,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbSe2F3,Ba2SbSe2F3,Ba,Sb,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbSe2Cl3,Ba2SbSe2Cl3,Ba,Sb,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbSe2Br3,Ba2SbSe2Br3,Ba,Sb,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbSe2I3,Ba2SbSe2I3,Ba,Sb,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbTe2F3,Ba2SbTe2F3,Ba,Sb,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbTe2Cl3,Ba2SbTe2Cl3,Ba,Sb,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbTe2Br3,Ba2SbTe2Br3,Ba,Sb,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2SbTe2I3,Ba2SbTe2I3,Ba,Sb,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiS2F3,Ba2TiS2F3,Ba,Ti,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiS2Cl3,Ba2TiS2Cl3,Ba,Ti,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiS2Br3,Ba2TiS2Br3,Ba,Ti,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiS2I3,Ba2TiS2I3,Ba,Ti,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiSe2F3,Ba2TiSe2F3,Ba,Ti,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiSe2Cl3,Ba2TiSe2Cl3,Ba,Ti,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiSe2Br3,Ba2TiSe2Br3,Ba,Ti,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiSe2I3,Ba2TiSe2I3,Ba,Ti,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiTe2F3,Ba2TiTe2F3,Ba,Ti,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiTe2Cl3,Ba2TiTe2Cl3,Ba,Ti,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiTe2Br3,Ba2TiTe2Br3,Ba,Ti,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2TiTe2I3,Ba2TiTe2I3,Ba,Ti,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VS2F3,Ba2VS2F3,Ba,V,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VS2Cl3,Ba2VS2Cl3,Ba,V,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VS2Br3,Ba2VS2Br3,Ba,V,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VS2I3,Ba2VS2I3,Ba,V,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VSe2F3,Ba2VSe2F3,Ba,V,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VSe2Cl3,Ba2VSe2Cl3,Ba,V,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VSe2Br3,Ba2VSe2Br3,Ba,V,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VSe2I3,Ba2VSe2I3,Ba,V,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VTe2F3,Ba2VTe2F3,Ba,V,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VTe2Cl3,Ba2VTe2Cl3,Ba,V,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VTe2Br3,Ba2VTe2Br3,Ba,V,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2VTe2I3,Ba2VTe2I3,Ba,V,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbS2F3,Ba2NbS2F3,Ba,Nb,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbS2Cl3,Ba2NbS2Cl3,Ba,Nb,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbS2Br3,Ba2NbS2Br3,Ba,Nb,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbS2I3,Ba2NbS2I3,Ba,Nb,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbSe2F3,Ba2NbSe2F3,Ba,Nb,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbSe2Cl3,Ba2NbSe2Cl3,Ba,Nb,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbSe2Br3,Ba2NbSe2Br3,Ba,Nb,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbSe2I3,Ba2NbSe2I3,Ba,Nb,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbTe2F3,Ba2NbTe2F3,Ba,Nb,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbTe2Cl3,Ba2NbTe2Cl3,Ba,Nb,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbTe2Br3,Ba2NbTe2Br3,Ba,Nb,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2NbTe2I3,Ba2NbTe2I3,Ba,Nb,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoS2F3,Ba2MoS2F3,Ba,Mo,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoS2Cl3,Ba2MoS2Cl3,Ba,Mo,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoS2Br3,Ba2MoS2Br3,Ba,Mo,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoS2I3,Ba2MoS2I3,Ba,Mo,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoSe2F3,Ba2MoSe2F3,Ba,Mo,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoSe2Cl3,Ba2MoSe2Cl3,Ba,Mo,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoSe2Br3,Ba2MoSe2Br3,Ba,Mo,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoSe2I3,Ba2MoSe2I3,Ba,Mo,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoTe2F3,Ba2Te2MoF3,Ba,Mo,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoTe2Cl3,Ba2Te2MoCl3,Ba,Mo,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoTe2Br3,Ba2Te2MoBr3,Ba,Mo,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2MoTe2I3,Ba2Te2MoI3,Ba,Mo,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrS2F3,Ba2ZrS2F3,Ba,Zr,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrS2Cl3,Ba2ZrS2Cl3,Ba,Zr,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrS2Br3,Ba2ZrS2Br3,Ba,Zr,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrS2I3,Ba2ZrS2I3,Ba,Zr,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrSe2F3,Ba2ZrSe2F3,Ba,Zr,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrSe2Cl3,Ba2ZrSe2Cl3,Ba,Zr,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrSe2Br3,Ba2ZrSe2Br3,Ba,Zr,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrSe2I3,Ba2ZrSe2I3,Ba,Zr,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrTe2F3,Ba2ZrTe2F3,Ba,Zr,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrTe2Cl3,Ba2ZrTe2Cl3,Ba,Zr,Te,Cl,Pb2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrTe2Br3,Ba2ZrTe2Br3,Ba,Zr,Te,Br,Pb2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2ZrTe2I3,Ba2ZrTe2I3,Ba,Zr,Te,I,Pb2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfS2F3,Ba2HfS2F3,Ba,Hf,S,F,SbPb2S2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfS2Cl3,Ba2HfS2Cl3,Ba,Hf,S,Cl,Pb2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfS2Br3,Ba2HfS2Br3,Ba,Hf,S,Br,Pb2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfS2I3,Ba2HfS2I3,Ba,Hf,S,I,Pb2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfSe2F3,Ba2HfSe2F3,Ba,Hf,Se,F,SbPb2Se2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfSe2Cl3,Ba2HfSe2Cl3,Ba,Hf,Se,Cl,Pb2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfSe2Br3,Ba2HfSe2Br3,Ba,Hf,Se,Br,Pb2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfSe2I3,Ba2HfSe2I3,Ba,Hf,Se,I,Pb2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ba2HfTe2F3,Ba2HfTe2F3,Ba,Hf,Te,F,SbTe2Pb2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
