file,formula,group,pattern,n_metals_or_non_chx,has_O,has_N,extra_elements,elements
mp-1229155.cif,Ag4Hg4S4BrCl3,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,Ag Br Cl Hg S
mp-1229171.cif,Ag6S2IBr,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Ag Br I S
mp-1229176.cif,AsSClOF8,oxy_chalcohalide,,2,True,False,As O,As Cl F O S
mp-1229204.cif,Ag4Hg5S5IBrCl2,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,Ag Br Cl Hg I S
mp-1229221.cif,As2Se3S3(NF3)4,nitride_chalcohalide,,2,False,True,As N,As F N S Se
mp-1229222.cif,Ag10Te4BrCl,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Ag Br Cl Te
mp-1232974.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1233008.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1233220.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1233222.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1233289.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1233394.cif,MgTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Mg O Ta Te
mp-1233439.cif,CaNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Ca Cl Nb O Te
mp-1233548.cif,CaNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Ca Cl Nb O Te
mp-1233562.cif,MgTe4Pb6(BrO3)4,oxy_chalcohalide,,3,True,False,O Pb,Br Mg O Pb Te
mp-1233587.cif,CaNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Ca Cl Nb O Te
mp-1233629.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1233665.cif,MgS8(O5F2)4,oxy_chalcohalide,,2,True,False,O,F Mg O S
mp-1233675.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1233782.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1233961.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234009.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234061.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1234074.cif,MgTe4Pb6(BrO3)4,oxy_chalcohalide,,3,True,False,O Pb,Br Mg O Pb Te
mp-1234080.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234154.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234172.cif,CaNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Ca Cl Nb O Te
mp-1234333.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234385.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234428.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234500.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234529.cif,MgTe4Pb6(BrO3)4,oxy_chalcohalide,,3,True,False,O Pb,Br Mg O Pb Te
mp-1234664.cif,MgTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Mg O Ta Te
mp-1234712.cif,MgS8(O5F2)4,oxy_chalcohalide,,2,True,False,O,F Mg O S
mp-1234722.cif,CaNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Ca Cl Nb O Te
mp-1234732.cif,MgAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Mg O Se
mp-1234900.cif,MgS8(O5F2)4,oxy_chalcohalide,,2,True,False,O,F Mg O S
mp-1234919.cif,MgNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Mg Nb O Te
mp-1234934.cif,MgTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Mg O Ta Te
mp-1235024.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235031.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235050.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1235057.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235067.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235086.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235095.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235131.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
