formula,pattern,status,source
AgPtSeI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgPtSeI.cif
AgRh2S3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2S3Br.cif
AgRh2S3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2S3Cl.cif
AgRh2S3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2S3F.cif
AgRh2S3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2S3I.cif
AgRh2Se3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2Se3Br.cif
AgRh2Se3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2Se3Cl.cif
AgRh2Se3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2Se3F.cif
AgRh2Se3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRh2Se3I.cif
AgRu2S3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2S3Br.cif
AgRu2S3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2S3Cl.cif
AgRu2S3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2S3F.cif
AgRu2S3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2S3I.cif
AgRu2Se3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2Se3Br.cif
AgRu2Se3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2Se3Cl.cif
AgRu2Se3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2Se3F.cif
AgRu2Se3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgRu2Se3I.cif
AgSb2S3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2S3Br.cif
AgSb2S3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2S3Cl.cif
AgSb2S3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2S3F.cif
AgSb2S3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2S3I.cif
AgSb2Se3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Se3Br.cif
AgSb2Se3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Se3Cl.cif
AgSb2Se3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Se3F.cif
AgSb2Se3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Se3I.cif
AgSb2Te3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Te3Br.cif
AgSb2Te3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Te3Cl.cif
AgSb2Te3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Te3F.cif
AgSb2Te3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSb2Te3I.cif
