task,model,accuracy,f1_macro
gap_type,Dummy(freq),0.7754524886877828,0.43676330041414463
gap_type,Logistic,0.6481900452488688,0.5887818595189661
gap_type,KNN,0.7833710407239819,0.6171297167984376
gap_type,SVM,0.7279411764705882,0.6402209252885842
gap_type,RandomForest,0.8071266968325792,0.6507699838096314
gap_type,ExtraTrees,0.7907239819004525,0.6521106506811433
gap_type,HistGBM,0.790158371040724,0.6754796477182379
gap_type,XGBoost,0.7856334841628959,0.6732081416075943
gap_type,LightGBM,0.7952488687782805,0.684335542929293
