model,n_samples,bg_mae,bg_r2,bg_fit_slope,bg_fit_intercept,gap_recall_macro,gap_recall_cls0,gap_recall_cls1,stability_recall_macro,stability_recall_stable_cls0,stability_recall_unstable_cls1
CGCNN,2529,0.6167644027884761,0.5725298362698272,0.7023429116819975,0.551267894285004,0.5829795657815792,0.38175675675675674,0.7842023748064016,0.795464081659863,0.7644710578842315,0.8264571054354944
MACE,2529,0.3244843325926997,0.8888213465552477,0.9198827973654403,0.20686801511962896,0.47688600245380564,0.6275395033860045,0.3262325015216068,0.9022642338113557,0.93812375249501,0.8664047151277013
ALIGNN,2529,0.5924894970452371,0.5877585753743555,0.7552201220855393,0.4502583193654798,0.5873041342840001,0.32432432432432434,0.8502839442436758,0.8082969620680054,0.7724550898203593,0.8441388343156516
M3GNet,2529,0.5920462938472687,0.6351478594594748,0.7247755313118103,0.48333350548599446,0.5958429551130893,0.34966216216216217,0.8420237480640165,0.8105900183915078,0.7934131736526946,0.8277668631303209
MACE+M3GNet,2529,0.260620438463174,0.9106534422100107,0.9437655585746139,0.09951496250352525,0.8299801881983764,0.8115124153498872,0.8484479610468655,0.9388747063829119,0.9301397205588823,0.9476096922069417
MACE+ALIGNN,2529,0.23215035378413124,0.9215745278831201,0.9505243582617884,0.09617831440071468,0.8497937072112485,0.8261851015801355,0.8734023128423616,0.9327308055794109,0.9191616766467066,0.9462999345121152
