structure_id,source_file,source_path,formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass
AgGeSeCl,AgGeSeCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeSeCl.cif,AgGeSeCl,Direct,0.4052,0.3644,Stable,No
AgGeSeF,AgGeSeF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeSeF.cif,AgGeSeF,Indirect,0.4951,0.3938,Stable,No
AgGeSeI,AgGeSeI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeSeI.cif,AgGeSeI,Indirect,0.2251,0.2978,Stable,No
AgGeTeBr,AgGeTeBr.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeTeBr.cif,AgGeTeBr,Direct,0.4178,0.2573,Stable,No
AgGeTeCl,AgGeTeCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeTeCl.cif,AgGeTeCl,Direct,0.4523,0.3013,Stable,No
AgGeTeF,AgGeTeF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeTeF.cif,AgGeTeF,Indirect,0.592,0.3048,Stable,No
AgGeTeI,AgGeTeI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgGeTeI.cif,AgGeTeI,Direct,0.3356,0.2402,Stable,No
AgMo2S3Br,AgMo2S3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2S3Br.cif,AgMo2S3Br,Indirect,0.2637,0.2495,Stable,No
AgMo2S3Cl,AgMo2S3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2S3Cl.cif,AgMo2S3Cl,Indirect,0.5124,0.2437,Stable,No
AgMo2S3F,AgMo2S3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2S3F.cif,AgMo2S3F,Indirect,0.0106,0.0216,Unstable,No
AgMo2S3I,AgMo2S3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2S3I.cif,AgMo2S3I,Direct,0.6929,0.1519,Stable,Yes
AgMo2Se3Br,AgMo2Se3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2Se3Br.cif,AgMo2Se3Br,Indirect,0.3534,0.2226,Stable,No
AgMo2Se3Cl,AgMo2Se3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2Se3Cl.cif,AgMo2Se3Cl,Indirect,0.2697,0.1554,Stable,No
AgMo2Se3F,AgMo2Se3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2Se3F.cif,AgMo2Se3F,Indirect,0.1615,0.1981,Unstable,No
AgMo2Se3I,AgMo2Se3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMo2Se3I.cif,AgMo2Se3I,Direct,0.291,0.1676,Stable,No
AgMoSBr2,AgMoSBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSBr2.cif,AgMoSBr2,Indirect,0.0542,0.0403,Unstable,No
AgMoSCl2,AgMoSCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSCl2.cif,AgMoSCl2,Indirect,0.0341,0.0365,Unstable,No
AgMoSF2,AgMoSF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSF2.cif,AgMoSF2,Indirect,0.1565,0.2401,Unstable,No
AgMoSI2,AgMoSI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSI2.cif,AgMoSI2,Direct,0.0574,0.0303,Unstable,No
AgMoSeBr2,AgMoSeBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSeBr2.cif,AgMoSeBr2,Indirect,0.0833,0.0713,Unstable,No
AgMoSeCl2,AgMoSeCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSeCl2.cif,AgMoSeCl2,Indirect,0.071,0.0682,Unstable,No
AgMoSeF2,AgMoSeF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSeF2.cif,AgMoSeF2,Indirect,0.0276,0.027,Unstable,No
AgMoSeI2,AgMoSeI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgMoSeI2.cif,AgMoSeI2,Indirect,0.0559,0.0279,Unstable,No
AgPdSBr,AgPdSBr.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSBr.cif,AgPdSBr,Direct,0.0706,0.1027,Unstable,No
AgPdSCl,AgPdSCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSCl.cif,AgPdSCl,Indirect,0.1007,0.1015,Unstable,No
AgPdSF,AgPdSF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSF.cif,AgPdSF,Direct,0.169,0.0868,Stable,No
AgPdSI,AgPdSI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSI.cif,AgPdSI,Indirect,-0.0031,0.0236,Unstable,No
AgPdSeBr,AgPdSeBr.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSeBr.cif,AgPdSeBr,Direct,0.064,0.0838,Unstable,No
AgPdSeCl,AgPdSeCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSeCl.cif,AgPdSeCl,Indirect,0.1107,0.1156,Unstable,No
AgPdSeF,AgPdSeF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSeF.cif,AgPdSeF,Direct,0.0513,0.0325,Stable,No
AgPdSeI,AgPdSeI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPdSeI.cif,AgPdSeI,Direct,0.0569,0.062,Unstable,No
AgPtSBr,AgPtSBr.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSBr.cif,AgPtSBr,Indirect,0.0432,0.056,Stable,No
AgPtSCl,AgPtSCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSCl.cif,AgPtSCl,Direct,0.0722,0.0618,Unstable,No
AgPtSF,AgPtSF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSF.cif,AgPtSF,Indirect,0.1688,0.1419,Stable,No
AgPtSI,AgPtSI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSI.cif,AgPtSI,Indirect,-0.0043,0.0302,Unstable,No
AgPtSeBr,AgPtSeBr.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSeBr.cif,AgPtSeBr,Indirect,0.0348,0.011,Stable,No
AgPtSeCl,AgPtSeCl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSeCl.cif,AgPtSeCl,Direct,0.0548,0.0321,Stable,No
AgPtSeF,AgPtSeF.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSeF.cif,AgPtSeF,Indirect,0.1065,0.0778,Stable,No
AgPtSeI,AgPtSeI.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgPtSeI.cif,AgPtSeI,Direct,0.1833,0.1777,Unstable,No
