formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,dest_file,cif_path,bg_eV_raw,bg_eV_used,gap_type_used,ehull_numeric_used,screen_pass_bool
AgBiSeCl2,Direct,0.9207,0.2877,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeCl2.cif,0.9207,0.9207,Direct,0.0,True
AgBiSeF2,Indirect,0.4253,0.4349,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeF2.cif,0.4253,0.4253,Indirect,0.0,False
AgBiSeI2,Indirect,0.7135,0.1467,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiSeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeI2.cif,0.7135,0.7135,Indirect,0.0,False
AgBiTeBr2,Indirect,0.5338,0.2707,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiTeBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeBr2.cif,0.5338,0.5338,Indirect,0.0,False
AgBiTeCl2,Indirect,0.9017,0.1503,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiTeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeCl2.cif,0.9017,0.9017,Indirect,0.0,False
AgBiTeF2,Indirect,0.1878,0.1323,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeF2.cif,0.1878,0.1878,Indirect,0.0,False
AgBiTeI2,Direct,0.3068,0.15,Stable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiTeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiTeI2.cif,0.3068,0.3068,Direct,0.0,False
AgGeSBr,Indirect,0.4541,0.4011,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSBr.cif,0.4541,0.4541,Indirect,0.0,False
AgGeSCl,Indirect,0.4272,0.2462,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSCl.cif,0.4272,0.4272,Indirect,0.0,False
AgGeSF,Indirect,0.8912,0.5445,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSF.cif,0.8912,0.8912,Indirect,0.0,False
AgGeSI,Indirect,0.0051,0.018,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSI.cif,0.0051,0.0051,Indirect,0.2,False
AgGeSeBr,Direct,0.4266,0.4907,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeBr.cif,0.4266,0.4266,Direct,0.0,False
AgGeSeCl,Direct,0.4053,0.3641,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeCl.cif,0.4053,0.4053,Direct,0.0,False
AgGeSeF,Indirect,0.4952,0.3936,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeF.cif,0.4952,0.4952,Indirect,0.0,False
AgGeSeI,Indirect,0.2252,0.2981,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeSeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeSeI.cif,0.2252,0.2252,Indirect,0.0,False
AgGeTeBr,Direct,0.4173,0.2565,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeBr.cif,0.4173,0.4173,Direct,0.0,False
AgGeTeCl,Direct,0.4524,0.3011,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeCl.cif,0.4524,0.4524,Direct,0.0,False
AgGeTeF,Indirect,0.5922,0.3054,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeTeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeF.cif,0.5922,0.5922,Indirect,0.0,False
AgGeTeI,Direct,0.3357,0.2402,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgGeTeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgGeTeI.cif,0.3357,0.3357,Direct,0.0,False
AgMo2S3Br,Indirect,0.2631,0.2481,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3Br.cif,0.2631,0.2631,Indirect,0.0,False
AgMo2S3Cl,Indirect,0.511,0.2437,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2S3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3Cl.cif,0.511,0.511,Indirect,0.0,False
AgMo2S3F,Indirect,0.011,0.0218,Unstable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2S3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3F.cif,0.011,0.011,Indirect,0.2,False
AgMo2S3I,Direct,0.6897,0.1508,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3I.cif,0.6897,0.6897,Direct,0.0,True
AgMo2Se3Br,Indirect,0.3526,0.2224,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3Br.cif,0.3526,0.3526,Indirect,0.0,False
AgMo2Se3Cl,Indirect,0.2691,0.1549,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3Cl.cif,0.2691,0.2691,Indirect,0.0,False
AgMo2Se3F,Indirect,0.1609,0.1963,Unstable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3F.cif,0.1609,0.1609,Indirect,0.2,False
